"variable_code";"variable";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"1";1;"area";1230;94;;;12;41;60;359;1203
"2";1;"cattle";0;0;;;0;0;0;0;0
"3";1;"gpv";2467690;265281;;;57600;262728;428166;1769575;8140906
"4";1;"production";1894;223;;;27;111;164;628;2971
"5";1;"slaughter";0;0;;;0;0;0;0;0
"6";5;"area";20187;19965;18326;19589;18451;19798;20128;20065;18316
"7";5;"cattle";0;0;0;0;0;0;0;0;0
"8";5;"gpv";93905726;123708652;115884721;121227905;109213960;136869721;114293450;128513614;199364765
"9";5;"production";151750;150805;140782;149239;104232;154193;129317;129747;145064
"10";5;"slaughter";0;0;0;0;0;0;0;0;0
"11";12;"area";2607;2105;2233;2179;1942;2106;1759;;2377
"12";12;"cattle";0;0;0;0;0;0;0;;0
"13";12;"gpv";11701363;9645580;11468003;8716722;11641660;11806220;8934025;;19034582
"14";12;"production";6142;5004;5425;5343;5437;7057;4950;;6816
"15";12;"slaughter";0;0;0;0;0;0;0;;0
"16";13;"area";;;;;;;;2134;
"17";13;"cattle";;;;;;;;0;
"18";13;"gpv";;;;;;;;10350148;
"19";13;"production";;;;;;;;4698;
"20";13;"slaughter";;;;;;;;0;
"21";14;"area";14626;12765;9946;7762;6567;5383;3374;3072;2561
"22";14;"cattle";0;0;0;0;0;0;0;0;0
"23";14;"gpv";17835486;20736911;14089121;12119261;12799963;9892790;5252148;4518323;5554050
"24";14;"production";26302;25050;17311;14323;12368;10813;6746;5924;5376
"25";14;"slaughter";0;0;0;0;0;0;0;0;0
"26";15;"area";347;331;303;241;242;269;277;291;299
"27";15;"cattle";0;0;0;0;0;0;0;0;0
"28";15;"gpv";3842556;4072919;3159527;4604922;9105808;11497398;11063103;21036246;14615158
"29";15;"production";4392;3955;3717;3133;3219;3605;3995;4552;3681
"30";15;"slaughter";0;0;0;0;0;0;0;0;0
"31";22;"area";1;3;1;5;10;1;9;5;3
"32";22;"cattle";0;0;0;0;0;0;0;0;0
"33";22;"gpv";15100;72500;42500;780000;1352000;36360;597000;340000;310000
"34";22;"production";2;13;10;120;169;6;100;43;16
"35";22;"slaughter";0;0;0;0;0;0;0;0;0
"36";40;"area";67071;65149;33508;43467;45560;43107;38029;36738;34374
"37";40;"cattle";0;0;0;0;0;0;0;0;0
"38";40;"gpv";502399223;433809174;217196718;494433236;475827460;517674864;422362641;390325717;481615637
"39";40;"production";92030;94728;33790;77865;65908;75795;66421;56415;58178
"40";40;"slaughter";0;0;0;0;0;0;0;0;0
"41";41;"area";647238;629966;677362;587111;655377;609059;596522;579622;552515
"42";41;"cattle";0;0;0;0;0;0;0;0;0
"43";41;"gpv";2350347475;2421182329;2473309093;2489622330;3047565285;2707401713;2500250470;2482786482;2748023133
"44";41;"production";43882517;47261034;47426830;44592916;45418268;40103717;37716859;37279077;36679436
"45";41;"slaughter";0;0;0;0;0;0;0;0;0
"46";43;"area";52402;46337;49751;48438;41245;50349;55051;63756;62953
"47";43;"cattle";0;0;0;0;0;0;0;0;0
"48";43;"gpv";96839030;101103623;98471707;67274862;129683063;111734727;155138604;253408770;349233333
"49";43;"production";167883;191547;185334;103956;203640;165698;195718;260086;274303
"50";43;"slaughter";0;0;0;0;0;0;0;0;0
"51";44;"area";1116;947;1162;1230;905;2265;2022;3130;2759
"52";44;"cattle";0;0;0;0;0;0;0;0;0
"53";44;"gpv";1005655;1157831;1369333;1198500;883080;3491698;2914680;5906886;6444313
"54";44;"production";2067;1991;2523;1998;2007;4046;4372;7305;6593
"55";44;"slaughter";0;0;0;0;0;0;0;0;0
"56";49;"area";2619;2605;2697;2799;1883;1993;1854;1966;2153
"57";49;"cattle";0;0;0;0;0;0;0;0;0
"58";49;"gpv";6836703;13116252;9509531;8944441;9874776;7210962;9923903;8206964;23017171
"59";49;"production";1361893;1312938;1458517;1614520;1156297;1099232;987453;1016972;970779
"60";49;"slaughter";0;0;0;0;0;0;0;0;0
"61";50;"area";12042;10589;5255;8238;5942;4685;695;792;996
"62";50;"cattle";0;0;0;0;0;0;0;0;0
"63";50;"gpv";18818551;8931431;7166980;13835520;10911957;6897557;1138293;1246350;3554968
"64";50;"production";16143;8283;7357;11331;9405;6429;973;1031;1648
"65";50;"slaughter";0;0;0;0;0;0;0;0;0
"66";51;"area";3;15;15;9;5;3;4;5;5
"67";51;"cattle";0;0;0;0;0;0;0;0;0
"68";51;"gpv";19679;190236;204531;32975;60141;38526;25781;48999;77103
"69";51;"production";3387;32856;32830;16910;7760;6125;3513;6290;10562
"70";51;"slaughter";0;0;0;0;0;0;0;0;0
"71";54;"area";89;92;80;80;84;85;;;
"72";54;"cattle";0;0;0;0;0;0;;;
"73";54;"gpv";125235;234800;1669629;2284800;1006560;950235;;;
"74";54;"production";22770;23480;189086;190400;233000;214500;;;
"75";54;"slaughter";0;0;0;0;0;0;;;
"76";55;"area";500;320;210;700;650;600;275;412;500
"77";55;"cattle";0;0;0;0;0;0;0;0;0
"78";55;"gpv";5500000;3520000;2200000;9400000;12360000;13600000;12260000;8515500;10625000
"79";55;"production";5e+05;320000;2e+05;940000;824000;8e+05;613000;350000;425000
"80";55;"slaughter";0;0;0;0;0;0;0;0;0
"81";56;"area";3;1;;;;;;;
"82";56;"cattle";0;0;;;;;;;
"83";56;"gpv";1308;8;;;;;;;
"84";56;"production";2615;15;;;;;;;
"85";56;"slaughter";0;0;;;;;;;
"86";57;"area";2;3;1;;;;;;
"87";57;"cattle";0;0;0;;;;;;
"88";57;"gpv";14253;12207;5787;;;;;;
"89";57;"production";2348;1878;900;;;;;;
"90";57;"slaughter";0;0;0;;;;;;
"91";58;"area";11;23;20;17;17;14;25;20;24
"92";58;"cattle";0;0;0;0;0;0;0;0;0
"93";58;"gpv";186725;211598;218300;124150;617975;388500;646000;534668;592547
"94";58;"production";138315;136515;118000;65000;130100;105000;170000;138515;150012
"95";58;"slaughter";0;0;0;0;0;0;0;0;0
"96";59;"area";1;3;1;;;;;;
"97";59;"cattle";0;0;0;;;;;;
"98";59;"gpv";6020;12250;3330;;;;;;
"99";59;"production";860;1750;90;;;;;;
"100";59;"slaughter";0;0;0;;;;;;
"101";60;"area";100;61;111;111;176;182;122;250;113
"102";60;"cattle";0;0;0;0;0;0;0;0;0
