"city_code";"group_code";"variable_code";"standard_code";"type_code";"year";"result";"population"
4100103;1;1;2;5;"2020";2464;7408
4100202;1;1;2;5;"2020";2309;5857
4100301;1;1;2;5;"2020";3497;9470
4100400;1;1;2;5;"2020";35550;120041
4100459;1;1;2;5;"2020";1437;1682
4100509;1;1;2;5;"2020";5805;22176
4100608;1;1;2;5;"2020";4670;14859
4100707;1;1;2;5;"2020";3217;9778
4100806;1;1;2;5;"2020";2781;11503
4100905;1;1;2;5;"2020";1796;6332
4101002;1;1;2;5;"2020";4764;19311
4101051;1;1;2;5;"2020";747;2788
4101101;1;1;2;5;"2020";6125;19926
4101150;1;1;2;5;"2020";1065;2930
4101200;1;1;2;5;"2020";6885;18949
4101309;1;1;2;5;"2020";2787;7427
4101408;1;1;2;5;"2020";37134;136234
4101507;1;1;2;5;"2020";30193;124810
4101606;1;1;2;5;"2020";7461;28300
4101655;1;1;2;5;"2020";1264;3009
4101705;1;1;2;5;"2020";4515;14000
4101804;1;1;2;5;"2020";43430;146214
4101853;1;1;2;5;"2020";767;2066
4101903;1;1;2;5;"2020";4873;14954
4102000;1;1;2;5;"2020";9545;33340
4102109;1;1;2;5;"2020";7456;26209
4102208;1;1;2;5;"2020";1226;3881
4102307;1;1;2;5;"2020";3900;13092
4102406;1;1;2;5;"2020";10574;31211
4102505;1;1;2;5;"2020";3792;11426
4102604;1;1;2;5;"2020";3131;10312
4102703;1;1;2;5;"2020";782;2781
4102752;1;1;2;5;"2020";991;3457
4102802;1;1;2;5;"2020";4756;15399
4102901;1;1;2;5;"2020";5536;16400
4103008;1;1;2;5;"2020";1411;4047
4103024;1;1;2;5;"2020";752;2470
4103040;1;1;2;5;"2020";2249;6365
4103057;1;1;2;5;"2020";2608;7540
4103107;1;1;2;5;"2020";4438;13129
4103156;1;1;2;5;"2020";1142;3506
4103206;1;1;2;5;"2020";1986;7068
4103222;1;1;2;5;"2020";794;3254
4103305;1;1;2;5;"2020";2534;6439
4103354;1;1;2;5;"2020";1642;5382
4103370;1;1;2;5;"2020";1204;2585
4103404;1;1;2;5;"2020";846;2954
4103453;1;1;2;5;"2020";4073;18456
4103479;1;1;2;5;"2020";1354;4009
4103503;1;1;2;5;"2020";2633;8606
4103602;1;1;2;5;"2020";6841;25466
4103701;1;1;2;5;"2020";28740;107341
4103800;1;1;2;5;"2020";2616;7917
4103909;1;1;2;5;"2020";4746;14043
4103958;1;1;2;5;"2020";1616;3859
4104006;1;1;2;5;"2020";14738;43685
4104055;1;1;2;5;"2020";1267;3763
4104105;1;1;2;5;"2020";2675;8045
4104204;1;1;2;5;"2020";33616;133865
4104253;1;1;2;5;"2020";9057;29740
4104303;1;1;2;5;"2020";27742;95488
4104402;1;1;2;5;"2020";5233;14809
4104428;1;1;2;5;"2020";5052;16053
4104451;1;1;2;5;"2020";4145;13329
4104501;1;1;2;5;"2020";4753;19148
4104600;1;1;2;5;"2020";4391;15834
4104659;1;1;2;5;"2020";5988;23825
4104709;1;1;2;5;"2020";5261;14356
4104808;1;1;2;5;"2020";87847;332333
4104907;1;1;2;5;"2020";21491;71809
4105003;1;1;2;5;"2020";2884;10167
4105102;1;1;2;5;"2020";3332;10764
4105201;1;1;2;5;"2020";7002;17833
4105300;1;1;2;5;"2020";2624;11819
4105409;1;1;2;5;"2020";5692;19167
4105508;1;1;2;5;"2020";21231;83816
4105607;1;1;2;5;"2020";3180;12797
4105706;1;1;2;5;"2020";5258;16450
4105805;1;1;2;5;"2020";75265;246540
4105904;1;1;2;5;"2020";6332;24145
4106001;1;1;2;5;"2020";3053;8857
4106100;1;1;2;5;"2020";1203;3876
4106209;1;1;2;5;"2020";5868;18837
4106308;1;1;2;5;"2020";5128;17117
4106407;1;1;2;5;"2020";12540;47842
4106456;1;1;2;5;"2020";1932;7518
4106506;1;1;2;5;"2020";5747;20580
4106555;1;1;2;5;"2020";1382;3127
4106571;1;1;2;5;"2020";1179;4240
4106605;1;1;2;5;"2020";6626;20947
4106704;1;1;2;5;"2020";1528;4449
4106803;1;1;2;5;"2020";6359;18741
4106852;1;1;2;5;"2020";982;2921
4106902;1;1;2;5;"2020";480140;1948626
4107009;1;1;2;5;"2020";4791;15196
4107108;1;1;2;5;"2020";1617;5030
4107124;1;1;2;5;"2020";1199;3424
4107157;1;1;2;5;"2020";1470;5266
4107207;1;1;2;5;"2020";11280;41038
4107256;1;1;2;5;"2020";2406;8869
4107306;1;1;2;5;"2020";1900;5983
4107405;1;1;2;5;"2020";1812;5933
4107504;1;1;2;5;"2020";3775;13981
4107520;1;1;2;5;"2020";548;1665
