"city_code";"group_code";"variable_code";"type_code";"standard_code";"year";"result";"population"
4100103;1;1;1;6;"2010";80854;7928
4100103;1;2;1;6;"2010";78795;7928
4100103;1;3;1;6;"2010";38853;7928
4100103;1;4;1;6;"2010";4052;7928
4100103;1;5;1;6;"2010";18599;7928
4100103;1;6;1;6;"2010";10414;7928
4100103;1;7;1;6;"2010";17291;7928
4100103;1;8;1;6;"2010";2059;7928
4100202;1;1;1;6;"2010";68096;6856
4100202;1;2;1;6;"2010";64919;6856
4100202;1;3;1;6;"2010";33007;6856
4100202;1;4;1;6;"2010";4028;6856
4100202;1;5;1;6;"2010";11710;6856
4100202;1;6;1;6;"2010";10680;6856
4100202;1;7;1;6;"2010";16175;6856
4100202;1;8;1;6;"2010";3177;6856
4100301;1;1;1;6;"2010";87126;8735
4100301;1;2;1;6;"2010";84097;8735
4100301;1;3;1;6;"2010";41563;8735
4100301;1;4;1;6;"2010";5162;8735
4100301;1;5;1;6;"2010";19725;8735
4100301;1;6;1;6;"2010";10535;8735
4100301;1;7;1;6;"2010";17647;8735
4100301;1;8;1;6;"2010";3029;8735
4100400;1;1;1;6;"2010";706901;97523
4100400;1;2;1;6;"2010";645558;97523
4100400;1;3;1;6;"2010";19992;97523
4100400;1;4;1;6;"2010";182871;97523
4100400;1;5;1;6;"2010";244370;97523
4100400;1;6;1;6;"2010";6850;97523
4100400;1;7;1;6;"2010";198325;97523
4100400;1;8;1;6;"2010";61343;97523
4100459;1;1;1;6;"2010";37391;3799
4100459;1;2;1;6;"2010";35891;3799
4100459;1;3;1;6;"2010";15899;3799
4100459;1;4;1;6;"2010";1317;3799
4100459;1;5;1;6;"2010";7950;3799
4100459;1;6;1;6;"2010";8683;3799
4100459;1;7;1;6;"2010";10724;3799
4100459;1;8;1;6;"2010";1500;3799
4128625;1;1;1;6;"2010";36765;3217
4128625;1;2;1;6;"2010";35549;3217
4128625;1;3;1;6;"2010";15539;3217
4128625;1;4;1;6;"2010";1971;3217
4128625;1;5;1;6;"2010";6806;3217
4128625;1;6;1;6;"2010";11468;3217
4128625;1;7;1;6;"2010";11232;3217
4128625;1;8;1;6;"2010";1217;3217
4100608;1;1;1;6;"2010";138443;13435
