"","city_code6","city_code7","city_IPARDES","City_RAIS","city_IBGE","region"
"1",410010,"4100103","Abatiá","Pr-Abatia","ABATIÁ",1
"2",410020,"4100202","Adrianópolis","Pr-Adrianopolis","ADRIANÓPOLIS",0
"3",410030,"4100301","Agudos do Sul","Pr-Agudos do Sul","AGUDOS DO SUL",0
"4",410040,"4100400","Almirante Tamandaré","Pr-Almirante Tamandare","ALMIRANTE TAMANDARÉ",0
"5",410045,"4100459","Altamira do Paraná","Pr-Altamira do Parana","ALTAMIRA DO PARANÁ",5
"6",410050,"4100509","Altônia","Pr-Altonia","ALTÔNIA",4
"7",410060,"4100608","Alto Paraná","Pr-Alto Parana","ALTO PARANÁ",3
"8",410070,"4100707","Alto Piquiri","Pr-Alto Piquiri","ALTO PIQUIRI",4
"9",410080,"4100806","Alvorada do Sul","Pr-Alvorada do Sul","ALVORADA DO SUL",0
"10",410090,"4100905","Amaporã","Pr-Amapora","AMAPORÃ",3
"11",410100,"4101002","Ampére","Pr-Ampere","AMPÉRE",0
"12",410105,"4101051","Anahy","Pr-Anahy","ANAHY",0
"13",410110,"4101101","Andirá","Pr-Andira","ANDIRÁ",1
"14",410115,"4101150","Ângulo","Pr-Angulo","ÂNGULO",0
"15",410120,"4101200","Antonina","Pr-Antonina","ANTONINA",0
"16",410130,"4101309","Antônio Olinto","Pr-Antonio Olinto","ANTÔNIO OLINTO",7
"17",410140,"4101408","Apucarana","Pr-Apucarana","APUCARANA",0
"18",410150,"4101507","Arapongas","Pr-Arapongas","ARAPONGAS",0
"19",410160,"4101606","Arapoti","Pr-Arapoti","ARAPOTI",0
"20",410165,"4101655","Arapuã","Pr-Arapua","ARAPUÃ",0
"21",410170,"4101705","Araruna","Pr-Araruna","ARARUNA",5
"22",410180,"4101804","Araucária","Pr-Araucaria","ARAUCÁRIA",0
"23",410185,"4101853","Ariranha do Ivaí","Pr-Ariranha do Ivai","ARIRANHA DO IVAÍ",0
"24",410190,"4101903","Assaí","Pr-Assai","ASSAÍ",2
"25",410200,"4102000","Assis Chateaubriand","Pr-Assis Chateaubriand","ASSIS CHATEAUBRIAND",0
"26",410210,"4102109","Astorga","Pr-Astorga","ASTORGA",0
"27",410220,"4102208","Atalaia","Pr-Atalaia","ATALAIA",0
"28",410230,"4102307","Balsa Nova","Pr-Balsa Nova","BALSA NOVA",0
"29",410240,"4102406","Bandeirantes","Pr-Bandeirantes","BANDEIRANTES",2
"30",410250,"4102505","Barbosa Ferraz","Pr-Barbosa Ferraz","BARBOSA FERRAZ",5
"31",410260,"4102604","Barracão","Pr-Barracao","BARRACÃO",0
"32",410270,"4102703","Barra do Jacaré","Pr-Barra do Jacare","BARRA DO JACARÉ",1
"33",410275,"4102752","Bela Vista da Caroba","Pr-Bela Vista da Caroba","BELA VISTA DA CAROBA",0
"34",410280,"4102802","Bela Vista do Paraíso","Pr-Bela Vista do Paraiso","BELA VISTA DO PARAÍSO",0
"35",410290,"4102901","Bituruna","Pr-Bituruna","BITURUNA",7
"36",410300,"4103008","Boa Esperança","Pr-Boa Esperanca","BOA ESPERANÇA",5
"37",410302,"4103024","Boa Esperança do Iguaçu","Pr-Boa Esperanca do Iguacu","BOA ESPERANÇA DO IGUAÇU",0
"38",410304,"4103040","Boa Ventura de São Roque","Pr-Boa Ventura de Sao Roque","BOA VENTURA DE SÃO ROQUE",6
"39",410305,"4103057","Boa Vista da Aparecida","Pr-Boa Vista da Aparecida","BOA VISTA DA APARECIDA",0
"40",410310,"4103107","Bocaiúva do Sul","Pr-Bocaiuva do Sul","BOCAIÚVA DO SUL",0
"41",410315,"4103156","Bom Jesus do Sul","Pr-Bom Jesus do Sul","BOM JESUS DO SUL",0
"42",410320,"4103206","Bom Sucesso","Pr-Bom Sucesso","BOM SUCESSO",0
"43",410322,"4103222","Bom Sucesso do Sul","Pr-Bom Sucesso do Sul","BOM SUCESSO DO SUL",0
"44",410330,"4103305","Borrazópolis","Pr-Borrazopolis","BORRAZÓPOLIS",0
"45",410335,"4103354","Braganey","Pr-Braganey","BRAGANEY",0
"46",410337,"4103370","Brasilândia do Sul","Pr-Brasilandia do Sul","BRASILÂNDIA DO SUL",4
"47",410340,"4103404","Cafeara","Pr-Cafeara","CAFEARA",3
"48",410345,"4103453","Cafelândia","Pr-Cafelandia","CAFELÂNDIA",0
"49",410347,"4103479","Cafezal do Sul","Pr-Cafezal do Sul","CAFEZAL DO SUL",4
"50",410350,"4103503","Califórnia","Pr-California","CALIFÓRNIA",0
"51",410360,"4103602","Cambará","Pr-Cambara","CAMBARÁ",1
"52",410370,"4103701","Cambé","Pr-Cambe","CAMBÉ",0
"53",410380,"4103800","Cambira","Pr-Cambira","CAMBIRA",0
"54",410390,"4103909","Campina da Lagoa","Pr-Campina da Lagoa","CAMPINA DA LAGOA",5
"55",410395,"4103958","Campina do Simão","Pr-Campina do Simao","CAMPINA DO SIMÃO",6
"56",410400,"4104006","Campina Grande do Sul","Pr-Campina Grande do Sul","CAMPINA GRANDE DO SUL",0
"57",410405,"4104055","Campo Bonito","Pr-Campo Bonito","CAMPO BONITO",0
"58",410410,"4104105","Campo do Tenente","Pr-Campo do Tenente","CAMPO DO TENENTE",0
"59",410420,"4104204","Campo Largo","Pr-Campo Largo","CAMPO LARGO",0
"60",410425,"4104253","Campo Magro","Pr-Campo Magro","CAMPO MAGRO",0
"61",410430,"4104303","Campo Mourão","Pr-Campo Mourao","CAMPO MOURÃO",5
"62",410440,"4104402","Cândido de Abreu","Pr-Candido de Abreu","CÂNDIDO DE ABREU",0
"63",410442,"4104428","Candói","Pr-Candoi","CANDÓI",6
"64",410445,"4104451","Cantagalo","Pr-Cantagalo","CANTAGALO",6
"65",410450,"4104501","Capanema","Pr-Capanema","CAPANEMA",0
"66",410460,"4104600","Capitão Leônidas Marques","Pr-Capitao Leonidas Marques","CAPITÃO LEÔNIDAS MARQUES",0
"67",410465,"4104659","Carambeí","Pr-Carambei","CARAMBEÍ",0
"68",410470,"4104709","Carlópolis","Pr-Carlopolis","CARLÓPOLIS",1
"69",410480,"4104808","Cascavel","Pr-Cascavel","CASCAVEL",0
"70",410490,"4104907","Castro","Pr-Castro","CASTRO",0
"71",410500,"4105003","Catanduvas","Pr-Catanduvas","CATANDUVAS",0
"72",410510,"4105102","Centenário do Sul","Pr-Centenario do Sul","CENTENÁRIO DO SUL",0
"73",410520,"4105201","Cerro Azul","Pr-Cerro Azul","CERRO AZUL",0
"74",410530,"4105300","Céu Azul","Pr-Ceu Azul","CÉU AZUL",0
"75",410540,"4105409","Chopinzinho","Pr-Chopinzinho","CHOPINZINHO",0
"76",410550,"4105508","Cianorte","Pr-Cianorte","CIANORTE",4
"77",410560,"4105607","Cidade Gaúcha","Pr-Cidade Gaucha","CIDADE GAÚCHA",4
"78",410570,"4105706","Clevelândia","Pr-Clevelandia","CLEVELÂNDIA",0
"79",410580,"4105805","Colombo","Pr-Colombo","COLOMBO",0
"80",410590,"4105904","Colorado","Pr-Colorado","COLORADO",3
"81",410600,"4106001","Congonhinhas","Pr-Congonhinhas","CONGONHINHAS",2
"82",410610,"4106100","Conselheiro Mairinck","Pr-Conselheiro Mairinck","CONSELHEIRO MAIRINCK",1
"83",410620,"4106209","Contenda","Pr-Contenda","CONTENDA",0
"84",410630,"4106308","Corbélia","Pr-Corbelia","CORBÉLIA",0
"85",410640,"4106407","Cornélio Procópio","Pr-Cornelio Procopio","CORNÉLIO PROCÓPIO",2
"86",410645,"4106456","Coronel Domingos Soares","Pr-Coronel Domingos Soares","CORONEL DOMINGOS SOARES",0
"87",410650,"4106506","Coronel Vivida","Pr-Coronel Vivida","CORONEL VIVIDA",0
"88",410655,"4106555","Corumbataí do Sul","Pr-Corumbatai do Sul","CORUMBATAÍ DO SUL",5
"89",410657,"4106571","Cruzeiro do Iguaçu","Pr-Cruzeiro do Iguacu","CRUZEIRO DO IGUAÇU",0
"90",410660,"4106605","Cruzeiro do Oeste","Pr-Cruzeiro do Oeste","CRUZEIRO DO OESTE",4
"91",410670,"4106704","Cruzeiro do Sul","Pr-Cruzeiro do Sul","CRUZEIRO DO SUL",3
"92",410680,"4106803","Cruz Machado","Pr-Cruz Machado","CRUZ MACHADO",7
"93",410685,"4106852","Cruzmaltina","Pr-Cruzmaltina","CRUZMALTINA",0
"94",410690,"4106902","Curitiba","Pr-Curitiba","CURITIBA",0
"95",410700,"4107009","Curiúva","Pr-Curiuva","CURIÚVA",1
"96",410710,"4107108","Diamante do Norte","Pr-Diamante do Norte","DIAMANTE DO NORTE",3
"97",410712,"4107124","Diamante do Sul","Pr-Diamante do Sul","DIAMANTE DO SUL",0
"98",410715,"4107157","Diamante D'Oeste","Pr-Diamante D Oeste","DIAMANTE D´OESTE",0
"99",410720,"4107207","Dois Vizinhos","Pr-Dois Vizinhos","DOIS VIZINHOS",0
"100",410725,"4107256","Douradina","Pr-Douradina","DOURADINA",4
"101",410730,"4107306","Doutor Camargo","Pr-Doutor Camargo","DOUTOR CAMARGO",0
"102",410740,"4107405","Enéas Marques","Pr-Eneas Marques","ENÉAS MARQUES",0
"103",410750,"4107504","Engenheiro Beltrão","Pr-Engenheiro Beltrao","ENGENHEIRO BELTRÃO",5
"104",410752,"4107520","Esperança Nova","Pr-Esperanca Nova","ESPERANÇA NOVA",4
"105",410753,"4107538","Entre Rios do Oeste","Pr-Entre Rios do Oeste","ENTRE RIOS DO OESTE",0
"106",410754,"4107546","Espigão Alto do Iguaçu","Pr-Espigao Alto do Iguacu","ESPIGÃO ALTO DO IGUAÇU",6
"107",410755,"4107553","Farol","Pr-Farol","FAROL",5
"108",410760,"4107603","Faxinal","Pr-Faxinal","FAXINAL",0
"109",410765,"4107652","Fazenda Rio Grande","Pr-Fazenda Rio Grande","FAZENDA RIO GRANDE",0
"110",410770,"4107702","Fênix","Pr-Fenix","FÊNIX",5
"111",410773,"4107736","Fernandes Pinheiro","Pr-Fernandes Pinheiro","FERNANDES PINHEIRO",7
"112",410775,"4107751","Figueira","Pr-Figueira","FIGUEIRA",1
"113",410780,"4107801","Floraí","Pr-Florai","FLORAÍ",0
"114",410785,"4107850","Flor da Serra do Sul","Pr-Flor da Serra do Sul","FLOR DA SERRA DO SUL",0
"115",410790,"4107900","Floresta","Pr-Floresta","FLORESTA",0
"116",410800,"4108007","Florestópolis","Pr-Florestopolis","FLORESTÓPOLIS",0
"117",410810,"4108106","Flórida","Pr-Florida","FLÓRIDA",0
"118",410820,"4108205","Formosa do Oeste","Pr-Formosa do Oeste","FORMOSA DO OESTE",0
"119",410830,"4108304","Foz do Iguaçu","Pr-Foz do Iguacu","FOZ DO IGUAÇU",0
"120",410832,"4108320","Francisco Alves","Pr-Francisco Alves","FRANCISCO ALVES",4
"121",410840,"4108403","Francisco Beltrão","Pr-Francisco Beltrao","FRANCISCO BELTRÃO",0
"122",410845,"4108452","Foz do Jordão","Pr-Foz do Jordao","FOZ DO JORDÃO",6
"123",410850,"4108502","General Carneiro","Pr-General Carneiro","GENERAL CARNEIRO",7
"124",410855,"4108551","Godoy Moreira","Pr-Godoy Moreira","GODOY MOREIRA",0
"125",410860,"4108601","Goioerê","Pr-Goioere","GOIOERÊ",5
"126",410865,"4108650","Goioxim","Pr-Goioxim","GOIOXIM",6
"127",410870,"4108700","Grandes Rios","Pr-Grandes Rios","GRANDES RIOS",0
"128",410880,"4108809","Guaíra","Pr-Guaira","GUAÍRA",0
"129",410890,"4108908","Guairaçá","Pr-Guairaca","GUAIRAÇÁ",3
"130",410895,"4108957","Guamiranga","Pr-Guamiranga","GUAMIRANGA",7
"131",410900,"4109005","Guapirama","Pr-Guapirama","GUAPIRAMA",1
"132",410910,"4109104","Guaporema","Pr-Guaporema","GUAPOREMA",4
"133",410920,"4109203","Guaraci","Pr-Guaraci","GUARACI",0
"134",410930,"4109302","Guaraniaçu","Pr-Guaraniacu","GUARANIAÇU",0
"135",410940,"4109401","Guarapuava","Pr-Guarapuava","GUARAPUAVA",6
"136",410950,"4109500","Guaraqueçaba","Pr-Guaraquecaba","GUARAQUEÇABA",0
"137",410960,"4109609","Guaratuba","Pr-Guaratuba","GUARATUBA",0
"138",410965,"4109658","Honório Serpa","Pr-Honorio Serpa","HONÓRIO SERPA",0
"139",410970,"4109708","Ibaiti","Pr-Ibaiti","IBAITI",1
"140",410975,"4109757","Ibema","Pr-Ibema","IBEMA",0
"141",410980,"4109807","Ibiporã","Pr-Ibipora","IBIPORÃ",0
"142",410990,"4109906","Icaraíma","Pr-Icaraima","ICARAÍMA",4
"143",411000,"4110003","Iguaraçu","Pr-Iguaracu","IGUARAÇU",0
"144",411005,"4110052","Iguatu","Pr-Iguatu","IGUATU",0
"145",411007,"4110078","Imbaú","Pr-Imbau","IMBAÚ",0
"146",411010,"4110102","Imbituva","Pr-Imbituva","IMBITUVA",7
"147",411020,"4110201","Inácio Martins","Pr-Inacio Martins","INÁCIO MARTINS",6
"148",411030,"4110300","Inajá","Pr-Inaja","INAJÁ",3
"149",411040,"4110409","Indianópolis","Pr-Indianopolis","INDIANÓPOLIS",4
"150",411050,"4110508","Ipiranga","Pr-Ipiranga","IPIRANGA",0
"151",411060,"4110607","Iporã","Pr-Ipora","IPORÃ",4
"152",411065,"4110656","Iracema do Oeste","Pr-Iracema do Oeste","IRACEMA DO OESTE",0
"153",411070,"4110706","Irati","Pr-Irati","IRATI",7
"154",411080,"4110805","Iretama","Pr-Iretama","IRETAMA",5
"155",411090,"4110904","Itaguajé","Pr-Itaguaje","ITAGUAJÉ",3
"156",411095,"4110953","Itaipulândia","Pr-Itaipulandia","ITAIPULÂNDIA",0
"157",411100,"4111001","Itambaracá","Pr-Itambaraca","ITAMBARACÁ",2
"158",411110,"4111100","Itambé","Pr-Itambe","ITAMBÉ",0
"159",411120,"4111209","Itapejara d'Oeste","Pr-Itapejara D Oeste","ITAPEJARA D´OESTE",0
"160",411125,"4111258","Itaperuçu","Pr-Itaperucu","ITAPERUÇU",0
"161",411130,"4111308","Itaúna do Sul","Pr-Itauna do Sul","ITAÚNA DO SUL",3
"162",411140,"4111407","Ivaí","Pr-Ivai","IVAÍ",0
"163",411150,"4111506","Ivaiporã","Pr-Ivaipora","IVAIPORÃ",0
"164",411155,"4111555","Ivaté","Pr-Ivate","IVATÉ",4
"165",411160,"4111605","Ivatuba","Pr-Ivatuba","IVATUBA",0
"166",411170,"4111704","Jaboti","Pr-Jaboti","JABOTI",1
"167",411180,"4111803","Jacarezinho","Pr-Jacarezinho","JACAREZINHO",1
"168",411190,"4111902","Jaguapitã","Pr-Jaguapita","JAGUAPITÃ",0
"169",411200,"4112009","Jaguariaíva","Pr-Jaguariaiva","JAGUARIAÍVA",0
"170",411210,"4112108","Jandaia do Sul","Pr-Jandaia do Sul","JANDAIA DO SUL",0
"171",411220,"4112207","Janiópolis","Pr-Janiopolis","JANIÓPOLIS",5
"172",411230,"4112306","Japira","Pr-Japira","JAPIRA",1
"173",411240,"4112405","Japurá","Pr-Japura","JAPURÁ",4
"174",411250,"4112504","Jardim Alegre","Pr-Jardim Alegre","JARDIM ALEGRE",0
"175",411260,"4112603","Jardim Olinda","Pr-Jardim Olinda","JARDIM OLINDA",3
"176",411270,"4112702","Jataizinho","Pr-Jataizinho","JATAIZINHO",0
"177",411275,"4112751","Jesuítas","Pr-Jesuitas","JESUÍTAS",0
"178",411280,"4112801","Joaquim Távora","Pr-Joaquim Tavora","JOAQUIM TÁVORA",1
"179",411290,"4112900","Jundiaí do Sul","Pr-Jundiai do Sul","JUNDIAÍ DO SUL",1
"180",411295,"4112959","Juranda","Pr-Juranda","JURANDA",5
"181",411300,"4113007","Jussara","Pr-Jussara","JUSSARA",4
"182",411310,"4113106","Kaloré","Pr-Kalore","KALORÉ",0
"183",411320,"4113205","Lapa","Pr-Lapa","LAPA",0
"184",411325,"4113254","Laranjal","Pr-Laranjal","LARANJAL",6
"185",411330,"4113304","Laranjeiras do Sul","Pr-Laranjeiras do Sul","LARANJEIRAS DO SUL",6
"186",411340,"4113403","Leópolis","Pr-Leopolis","LEÓPOLIS",2
"187",411342,"4113429","Lidianópolis","Pr-Lidianopolis","LIDIANÓPOLIS",0
"188",411345,"4113452","Lindoeste","Pr-Lindoeste","LINDOESTE",0
"189",411350,"4113502","Loanda","Pr-Loanda","LOANDA",3
"190",411360,"4113601","Lobato","Pr-Lobato","LOBATO",3
"191",411370,"4113700","Londrina","Pr-Londrina","LONDRINA",0
"192",411373,"4113734","Luiziana","Pr-Luiziana","LUIZIANA",5
"193",411375,"4113759","Lunardelli","Pr-Lunardelli","LUNARDELLI",0
"194",411380,"4113809","Lupionópolis","Pr-Lupionopolis","LUPIONÓPOLIS",0
"195",411390,"4113908","Mallet","Pr-Mallet","MALLET",7
