"","city_code7","city_IPARDES","year","population"
"1","4100103","Abatiá","1990",10180
"2","4100202","Adrianópolis","1990",9147
"3","4100301","Agudos do Sul","1990",5990
"4","4100400","Almirante Tamandaré","1990",63015
"5","4100459","Altamira do Paraná","1990",7761
"6","4128625","Alto Paraíso","1990",NA
"7","4100608","Alto Paraná","1990",12175
"8","4100707","Alto Piquiri","1990",17764
"9","4100509","Altônia","1990",25306
"10","4100806","Alvorada do Sul","1990",9968
"11","4100905","Amaporã","1990",3879
"12","4101002","Ampére","1990",13450
"13","4101051","Anahy","1990",NA
"14","4101101","Andirá","1990",19393
"15","4101150","Ângulo","1990",NA
"16","4101200","Antonina","1990",16995
"17","4101309","Antônio Olinto","1990",7640
"18","4101408","Apucarana","1990",93607
"19","4101507","Arapongas","1990",63584
"20","4101606","Arapoti","1990",20259
"21","4101655","Arapuã","1990",NA
"22","4101705","Araruna","1990",12567
"23","4101804","Araucária","1990",59226
"24","4101853","Ariranha do Ivaí","1990",NA
"25","4101903","Assaí","1990",20499
"26","4102000","Assis Chateaubriand","1990",40208
"27","4102109","Astorga","1990",22283
"28","4102208","Atalaia","1990",4188
"29","4102307","Balsa Nova","1990",7296
"30","4102406","Bandeirantes","1990",34254
"31","4102505","Barbosa Ferraz","1990",19242
"32","4102703","Barra do Jacaré","1990",3233
"33","4102604","Barracão","1990",15031
"34","4102752","Bela Vista da Caroba","1990",NA
"35","4102802","Bela Vista do Paraíso","1990",15088
"36","4102901","Bituruna","1990",12740
"37","4103008","Boa Esperança","1990",7105
"38","4103024","Boa Esperança do Iguaçu","1990",NA
"39","4103040","Boa Ventura de São Roque","1990",NA
"40","4103057","Boa Vista da Aparecida","1990",10413
"41","4103107","Bocaiúva do Sul","1990",10801
"42","4103156","Bom Jesus do Sul","1990",NA
"43","4103206","Bom Sucesso","1990",7341
"44","4103222","Bom Sucesso do Sul","1990",NA
"45","4103305","Borrazópolis","1990",11873
"46","4103354","Braganey","1990",8261
"47","4103370","Brasilândia do Sul","1990",NA
"48","4103404","Cafeara","1990",2472
"49","4103453","Cafelândia","1990",7909
"50","4103479","Cafezal do Sul","1990",NA
"51","4103503","Califórnia","1990",7403
"52","4103602","Cambará","1990",21343
"53","4103701","Cambé","1990",71878
"54","4103800","Cambira","1990",10012
"55","4103909","Campina da Lagoa","1990",20762
"56","4103958","Campina do Simão","1990",NA
"57","4104006","Campina Grande do Sul","1990",18405
"58","4104055","Campo Bonito","1990",5128
"59","4104105","Campo do Tenente","1990",5106
"60","4104204","Campo Largo","1990",70785
"61","4104253","Campo Magro","1990",NA
"62","4104303","Campo Mourão","1990",80315
"63","4104402","Cândido de Abreu","1990",21300
"64","4104428","Candói","1990",NA
"65","4104451","Cantagalo","1990",24916
"66","4104501","Capanema","1990",19999
"67","4104600","Capitão Leônidas Marques","1990",19040
"68","4104659","Carambeí","1990",NA
"69","4104709","Carlópolis","1990",12472
"70","4104808","Cascavel","1990",187851
"71","4104907","Castro","1990",62658
"72","4105003","Catanduvas","1990",10064
"73","4105102","Centenário do Sul","1990",14477
"74","4105201","Cerro Azul","1990",20968
"75","4105300","Céu Azul","1990",10676
"76","4105409","Chopinzinho","1990",24846
"77","4105508","Cianorte","1990",49743
"78","4105607","Cidade Gaúcha","1990",8449
"79","4105706","Clevelândia","1990",17932
"80","4105805","Colombo","1990",112372
"81","4105904","Colorado","1990",18784
"82","4106001","Congonhinhas","1990",7826
"83","4106100","Conselheiro Mairinck","1990",3513
"84","4106209","Contenda","1990",8805
"85","4106308","Corbélia","1990",23115
"86","4106407","Cornélio Procópio","1990",46245
"87","4106456","Coronel Domingos Soares","1990",NA
"88","4106506","Coronel Vivida","1990",25318
"89","4106555","Corumbataí do Sul","1990",6883
"90","4106803","Cruz Machado","1990",16428
"91","4106571","Cruzeiro do Iguaçu","1990",NA
"92","4106605","Cruzeiro do Oeste","1990",24016
"93","4106704","Cruzeiro do Sul","1990",5075
"94","4106852","Cruzmaltina","1990",NA
"95","4106902","Curitiba","1990",1286527
"96","4107009","Curiúva","1990",10484
"97","4107108","Diamante do Norte","1990",7682
"98","4107124","Diamante do Sul","1990",NA
"99","4107157","Diamante D'Oeste","1990",9589
"100","4107207","Dois Vizinhos","1990",40484
"101","4107256","Douradina","1990",7106
"102","4107306","Doutor Camargo","1990",6009
"103","4128633","Doutor Ulysses","1990",NA
"104","4107405","Enéas Marques","1990",12581
"105","4107504","Engenheiro Beltrão","1990",14765
"106","4107538","Entre Rios do Oeste","1990",NA
"107","4107520","Esperança Nova","1990",NA
"108","4107546","Espigão Alto do Iguaçu","1990",NA
"109","4107553","Farol","1990",NA
"110","4107603","Faxinal","1990",20478
"111","4107652","Fazenda Rio Grande","1990",NA
"112","4107702","Fênix","1990",6127
"113","4107736","Fernandes Pinheiro","1990",NA
"114","4107751","Figueira","1990",9561
"115","4107850","Flor da Serra do Sul","1990",NA
"116","4107801","Floraí","1990",5612
"117","4107900","Floresta","1990",4504
"118","4108007","Florestópolis","1990",12013
"119","4108106","Flórida","1990",2085
"120","4108205","Formosa do Oeste","1990",15631
"121","4108304","Foz do Iguaçu","1990",183701
"122","4108452","Foz do Jordão","1990",NA
"123","4108320","Francisco Alves","1990",9747
"124","4108403","Francisco Beltrão","1990",60042
"125","4108502","General Carneiro","1990",11060
"126","4108551","Godoy Moreira","1990",5914
"127","4108601","Goioerê","1990",45490
"128","4108650","Goioxim","1990",NA
"129","4108700","Grandes Rios","1990",12687
"130","4108809","Guaíra","1990",29918
"131","4108908","Guairaçá","1990",5708
"132","4108957","Guamiranga","1990",NA
"133","4109005","Guapirama","1990",3743
"134","4109104","Guaporema","1990",2330
"135","4109203","Guaraci","1990",5562
"136","4109302","Guaraniaçu","1990",26277
"137","4109401","Guarapuava","1990",156304
"138","4109500","Guaraqueçaba","1990",7751
"139","4109609","Guaratuba","1990",17426
"140","4109658","Honório Serpa","1990",NA
"141","4109708","Ibaiti","1990",26267
"142","4109757","Ibema","1990",5871
"143","4109807","Ibiporã","1990",34426
"144","4109906","Icaraíma","1990",12405
"145","4110003","Iguaraçu","1990",5773
"146","4110052","Iguatu","1990",NA
"147","4110078","Imbaú","1990",NA
"148","4110102","Imbituva","1990",25264
"149","4110201","Inácio Martins","1990",13450
"150","4110300","Inajá","1990",2646
"151","4110409","Indianópolis","1990",6971
"152","4110508","Ipiranga","1990",12344
"153","4110607","Iporã","1990",27166
"154","4110656","Iracema do Oeste","1990",NA
"155","4110706","Irati","1990",47302
"156","4110805","Iretama","1990",16432
"157","4110904","Itaguajé","1990",5071
"158","4110953","Itaipulândia","1990",NA
"159","4111001","Itambaracá","1990",9613
"160","4111100","Itambé","1990",6207
"161","4111209","Itapejara d'Oeste","1990",9149
"162","4111258","Itaperuçu","1990",NA
"163","4111308","Itaúna do Sul","1990",4513
"164","4111407","Ivaí","1990",11361
"165","4111506","Ivaiporã","1990",47262
"166","4111555","Ivaté","1990",NA
"167","4111605","Ivatuba","1990",2512
"168","4111704","Jaboti","1990",4455
"169","4111803","Jacarezinho","1990",40668
"170","4111902","Jaguapitã","1990",10749
"171","4112009","Jaguariaíva","1990",24182
"172","4112108","Jandaia do Sul","1990",18493
"173","4112207","Janiópolis","1990",10922
"174","4112306","Japira","1990",4926
"175","4112405","Japurá","1990",8349
"176","4112504","Jardim Alegre","1990",21251
"177","4112603","Jardim Olinda","1990",1395
"178","4112702","Jataizinho","1990",10342
"179","4112751","Jesuítas","1990",13189
"180","4112801","Joaquim Távora","1990",9925
"181","4112900","Jundiaí do Sul","1990",4339
"182","4112959","Juranda","1990",8832
"183","4113007","Jussara","1990",6014
"184","4113106","Kaloré","1990",6745
"185","4113205","Lapa","1990",39646
"186","4113254","Laranjal","1990",NA
"187","4113304","Laranjeiras do Sul","1990",54960
"188","4113403","Leópolis","1990",4802
"189","4113429","Lidianópolis","1990",NA
"190","4113452","Lindoeste","1990",7267
"191","4113502","Loanda","1990",17924
"192","4113601","Lobato","1990",3727
"193","4113700","Londrina","1990",381412
"194","4113734","Luiziana","1990",9831
"195","4113759","Lunardelli","1990",7908
"196","4113809","Lupionópolis","1990",4522
"197","4113908","Mallet","1990",11635
"198","4114005","Mamborê","1990",15978
"199","4114104","Mandaguaçu","1990",14631
"200","4114203","Mandaguari","1990",27731
"201","4114302","Mandirituba","1990",36087
"202","4114351","Manfrinópolis","1990",NA
"203","4114401","Mangueirinha","1990",25167
"204","4114500","Manoel Ribas","1990",12370
"205","4114609","Marechal Cândido Rondon","1990",50096
"206","4114708","Maria Helena","1990",8888
"207","4114807","Marialva","1990",22422
"208","4114906","Marilândia do Sul","1990",13779
"209","4115002","Marilena","1990",6749
"210","4115101","Mariluz","1990",11289
"211","4115200","Maringá","1990",233210
"212","4115309","Mariópolis","1990",6272
"213","4115358","Maripá","1990",NA
"214","4115408","Marmeleiro","1990",16844
"215","4115457","Marquinho","1990",NA
"216","4115507","Marumbi","1990",5176
"217","4115606","Matelândia","1990",17802
"218","4115705","Matinhos","1990",10769
"219","4115739","Mato Rico","1990",NA
"220","4115754","Mauá da Serra","1990",NA
"221","4115804","Medianeira","1990",38436
"222","4115853","Mercedes","1990",NA
"223","4115903","Mirador","1990",2305
"224","4116000","Miraselva","1990",5386
"225","4116059","Missal","1990",10590
"226","4116109","Moreira Sales","1990",17194
"227","4116208","Morretes","1990",13145
"228","4116307","Munhoz de Melo","1990",3753
"229","4116406","Nossa Senhora das Graças","1990",3557
"230","4116505","Nova Aliança do Ivaí","1990",1193
"231","4116604","Nova América da Colina","1990",4141
"232","4116703","Nova Aurora","1990",15779
"233","4116802","Nova Cantu","1990",11313
"234","4116901","Nova Esperança","1990",24165
"235","4116950","Nova Esperança do Sudoeste","1990",NA
"236","4117008","Nova Fátima","1990",8367
"237","4117057","Nova Laranjeiras","1990",NA
"238","4117107","Nova Londrina","1990",12781
"239","4117206","Nova Olímpia","1990",5482
"240","4117255","Nova Prata do Iguaçu","1990",12142
"241","4117214","Nova Santa Bárbara","1990",NA
"242","4117222","Nova Santa Rosa","1990",7028
"243","4117271","Nova Tebas","1990",17869
"244","4117297","Novo Itacolomi","1990",NA
"245","4117305","Ortigueira","1990",29726
"246","4117404","Ourizona","1990",3861
"247","4117453","Ouro Verde do Oeste","1990",6497
"248","4117503","Paiçandu","1990",21190
"249","4117602","Palmas","1990",34831
"250","4117701","Palmeira","1990",28573
"251","4117800","Palmital","1990",24220
"252","4117909","Palotina","1990",30463
"253","4118006","Paraíso do Norte","1990",8773
"254","4118105","Paranacity","1990",8508
"255","4118204","Paranaguá","1990",105149
"256","4118303","Paranapoema","1990",2426
"257","4118402","Paranavaí","1990",70486
"258","4118451","Pato Bragado","1990",NA
"259","4118501","Pato Branco","1990",54718
"260","4118600","Paula Freitas","1990",4651
"261","4118709","Paulo Frontin","1990",6441
"262","4118808","Peabiru","1990",14437
"263","4118857","Perobal","1990",NA
"264","4118907","Pérola","1990",15684
"265","4119004","Pérola d'Oeste","1990",12685
"266","4119103","Piên","1990",7572
"267","4119152","Pinhais","1990",NA
"268","4119251","Pinhal de São Bento","1990",NA
"269","4119202","Pinhalão","1990",5880
"270","4119301","Pinhão","1990",34857
"271","4119400","Piraí do Sul","1990",19184
"272","4119509","Piraquara","1990",103320
"273","4119608","Pitanga","1990",64468
"274","4119657","Pitangueiras","1990",NA
"275","4119707","Planaltina do Paraná","1990",3884
"276","4119806","Planalto","1990",15602
"277","4119905","Ponta Grossa","1990",229331
"278","4119954","Pontal do Paraná","1990",NA
"279","4120002","Porecatu","1990",17531
"280","4120101","Porto Amazonas","1990",3513
"281","4120150","Porto Barreiro","1990",NA
"282","4120200","Porto Rico","1990",3420
"283","4120309","Porto Vitória","1990",3748
"284","4120333","Prado Ferreira","1990",NA
"285","4120358","Pranchita","1990",8850
"286","4120408","Presidente Castelo Branco","1990",3742
"287","4120507","Primeiro de Maio","1990",12038
"288","4120606","Prudentópolis","1990",46296
"289","4120655","Quarto Centenário","1990",NA
"290","4120705","Quatiguá","1990",5722
"291","4120804","Quatro Barras","1990",9585
"292","4120853","Quatro Pontes","1990",NA
"293","4120903","Quedas do Iguaçu","1990",31508
"294","4121000","Querência do Norte","1990",10254
"295","4121109","Quinta do Sol","1990",5805
"296","4121208","Quitandinha","1990",14219
"297","4121257","Ramilândia","1990",NA
"298","4121307","Rancho Alegre","1990",4545
"299","4121356","Rancho Alegre D'Oeste","1990",NA
"300","4121406","Realeza","1990",17593
"301","4121505","Rebouças","1990",12748
"302","4121604","Renascença","1990",7581
"303","4121703","Reserva","1990",24938
"304","4121752","Reserva do Iguaçu","1990",NA
"305","4121802","Ribeirão Claro","1990",11502
"306","4121901","Ribeirão do Pinhal","1990",13939
"307","4122008","Rio Azul","1990",12237
"308","4122107","Rio Bom","1990",4278
"309","4122156","Rio Bonito do Iguaçu","1990",NA
"310","4122172","Rio Branco do Ivaí","1990",NA
"311","4122206","Rio Branco do Sul","1990",37654
"312","4122305","Rio Negro","1990",25859
"313","4122404","Rolândia","1990",43548
"314","4122503","Roncador","1990",17316
"315","4122602","Rondon","1990",9075
"316","4122651","Rosário do Ivaí","1990",10680
"317","4122701","Sabáudia","1990",5258
"318","4122800","Salgado Filho","1990",13997
"319","4122909","Salto do Itararé","1990",6470
"320","4123006","Salto do Lontra","1990",14589
"321","4123105","Santa Amélia","1990",4627
"322","4123204","Santa Cecília do Pavão","1990",8762
"323","4123303","Santa Cruz de Monte Castelo","1990",10189
"324","4123402","Santa Fé","1990",8786
"325","4123501","Santa Helena","1990",19396
"326","4123600","Santa Inês","1990",2128
"327","4123709","Santa Isabel do Ivaí","1990",13584
"328","4123808","Santa Izabel do Oeste","1990",12852
"329","4123824","Santa Lúcia","1990",NA
"330","4123857","Santa Maria do Oeste","1990",NA
"331","4123907","Santa Mariana","1990",14776
"332","4123956","Santa Mônica","1990",NA
"333","4124020","Santa Tereza do Oeste","1990",6223
"334","4124053","Santa Terezinha de Itaipu","1990",13892
"335","4124004","Santana do Itararé","1990",6177
"336","4124103","Santo Antônio da Platina","1990",38524
"337","4124202","Santo Antônio do Caiuá","1990",3202
"338","4124301","Santo Antônio do Paraíso","1990",2575
"339","4124400","Santo Antônio do Sudoeste","1990",20668
"340","4124509","Santo Inácio","1990",5524
"341","4124608","São Carlos do Ivaí","1990",4944
"342","4124707","São Jerônimo da Serra","1990",13581
"343","4124806","São João","1990",13998
"344","4124905","São João do Caiuá","1990",6124
"345","4125001","São João do Ivaí","1990",16825
"346","4125100","São João do Triunfo","1990",12172
"347","4125308","São Jorge do Ivaí","1990",6387
"348","4125357","São Jorge do Patrocínio","1990",9309
"349","4125209","São Jorge d'Oeste","1990",10655
"350","4125407","São José da Boa Vista","1990",8633
"351","4125456","São José das Palmeiras","1990",5993
"352","4125506","São José dos Pinhais","1990",121870
"353","4125555","São Manoel do Paraná","1990",NA
"354","4125605","São Mateus do Sul","1990",32532
"355","4125704","São Miguel do Iguaçu","1990",25657
"356","4125753","São Pedro do Iguaçu","1990",NA
"357","4125803","São Pedro do Ivaí","1990",9444
"358","4125902","São Pedro do Paraná","1990",3400
"359","4126009","São Sebastião da Amoreira","1990",7844
"360","4126108","São Tomé","1990",5316
"361","4126207","Sapopema","1990",7225
"362","4126256","Sarandi","1990",45407
"363","4126272","Saudade do Iguaçu","1990",NA
"364","4126306","Sengés","1990",14854
"365","4126355","Serranópolis do Iguaçu","1990",NA
"366","4126405","Sertaneja","1990",6729
"367","4126504","Sertanópolis","1990",14506
"368","4126603","Siqueira Campos","1990",14336
"369","4126652","Sulina","1990",5490
"370","4126678","Tamarana","1990",NA
"371","4126702","Tamboara","1990",4646
"372","4126801","Tapejara","1990",12128
"373","4126900","Tapira","1990",8915
"374","4127007","Teixeira Soares","1990",13910
"375","4127106","Telêmaco Borba","1990",63942
"376","4127205","Terra Boa","1990",14447
