code;city;region_code;region;code_variable;variable;group_code;standard;area;production;slaughter;gpv;cattle;production2
4106407;Cornélio Procópio;6407;Cornélio Procópio;1;ALGODAO;A;TON;241;327,8;;427.451,20;;327,8
4106407;Cornélio Procópio;6407;Cornélio Procópio;2004;ALHO;B;TON;5;20,5;;116.899,20;;20,5
4106407;Cornélio Procópio;6407;Cornélio Procópio;12;AMENDOIM SAFRA DAS AGUAS;A;TON;2;4;;7.632,00;;4
4106407;Cornélio Procópio;6407;Cornélio Procópio;5;ARROZ IRRIGADO;A;TON;3;13,8;;8.539,85;;13,8
4106407;Cornélio Procópio;6407;Cornélio Procópio;14;ARROZ SEQUEIRO;A;TON;31;60;;40.699,80;;60
4106407;Cornélio Procópio;6407;Cornélio Procópio;1520;BANANA;C;TON;80;1440;;595.641,60;;1440
4106407;Cornélio Procópio;6407;Cornélio Procópio;7016;BEZERRAS;D;CAB;;;96;55.482,24;0;
4106407;Cornélio Procópio;6407;Cornélio Procópio;7015;BEZERROS;D;CAB;;;381;258.058,92;0;
4106407;Cornélio Procópio;6407;Cornélio Procópio;7010;BOVINOS (BOI GORDO);D;KG;;18943;3120;4.956.588,00;18943;
4106407;Cornélio Procópio;6407;Cornélio Procópio;40;CAFE;A;TON;644;760,3;;4.151.238,00;;760,3
4106407;Cornélio Procópio;6407;Cornélio Procópio;7310;CAMA DE AVIARIO;D;TON;;511;;34.916,63;;511
4106407;Cornélio Procópio;6407;Cornélio Procópio;41;CANA-DE-ACUCAR;A;TON;800;68800;;3.684.928,00;;68800
4106407;Cornélio Procópio;6407;Cornélio Procópio;7040;CAPRINOS (PARA CORTE);D;KG;;216;37;6.571,20;216;
4106407;Cornélio Procópio;6407;Cornélio Procópio;7455;EQUINOS (PARA CORTE);D;KG;;348;35;8.064,00;348;
4106407;Cornélio Procópio;6407;Cornélio Procópio;7316;ESTERCO DE SUINOS/BOVINOS;D;TON;;3232;;186.971,20;;3232
4106407;Cornélio Procópio;6407;Cornélio Procópio;93;FEIJAO SAFRA DA SECA;A;TON;6;2,5;;5.255,83;;2,5
4106407;Cornélio Procópio;6407;Cornélio Procópio;92;FEIJAO SAFRA DAS AGUAS;A;TON;40;16,8;;29.010,74;;16,8
4106407;Cornélio Procópio;6407;Cornélio Procópio;94;FEIJAO SAFRA DE INVERNO;A;TON;40;20,2;;40.938,73;;20,2
4106407;Cornélio Procópio;6407;Cornélio Procópio;3515;FENO DE ALFAFA;D;TON;;2250;;1.664.145,00;;2250
