city;nr;variable;standard;area;production;slaughter;gpv
ABATIA;Cornélio Procópio;AMENDOIM SAFRA DAS AGUAS;TON;1;2,15;;4.146,06
ABATIA;Cornélio Procópio;ARROZ IRRIGADO;TON;2;9,52;;7.809,54
ABATIA;Cornélio Procópio;ARROZ SEQUEIRO;TON;28;58,8;;48.686,40
ABATIA;Cornélio Procópio;BANANA;TON;130;2340;;1.226.370,60
ABATIA;Cornélio Procópio;BEZERRAS;CAB;;;91;54.858,44
ABATIA;Cornélio Procópio;BEZERROS;CAB;;;363;266.118,93
ABATIA;Cornélio Procópio;BOVINOS (BOI GORDO);KG;;18071;2970;5.332.635,00
ABATIA;Cornélio Procópio;CAFE;TON;654;901,4;;4.128.412,00
ABATIA;Cornélio Procópio;CAMA DE AVIARIO;TON;;560;;41.160,00
ABATIA;Cornélio Procópio;CANA-DE-ACUCAR;TON;700;58100;;2.976.463,00
ABATIA;Cornélio Procópio;CAPRINOS (PARA CORTE);KG;;216;37;6.956,00
ABATIA;Cornélio Procópio;EQUINOS (PARA CORTE);KG;;348;35;6.237,00
ABATIA;Cornélio Procópio;ESTERCO DE SUINOS/BOVINOS;TON;;3390;;169.737,30
ABATIA;Cornélio Procópio;FEIJAO SAFRA DA SECA;TON;6;2,88;;7.656,48
ABATIA;Cornélio Procópio;FEIJAO SAFRA DAS AGUAS;TON;32;28,16;;69.827,51
ABATIA;Cornélio Procópio;FEIJAO SAFRA DE INVERNO;TON;18;9;;21.426,03
ABATIA;Cornélio Procópio;FENO DE ALFAFA;TON;;2392;;1.463.449,52
ABATIA;Cornélio Procópio;FRANGO DE CORTE (AVES DE CORTE);KG;;61745;370471;1.573.946,04
ABATIA;Cornélio Procópio;GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO);KG;;2674;1337;22.341,27
ABATIA;Cornélio Procópio;GARROTES;CAB;;;335;326.638,40
ABATIA;Cornélio Procópio;LEITE;MLT;;629;;578.680,00
ABATIA;Cornélio Procópio;MADEIRAS - EM TORA P/OUTRAS FINALIDADES;M3;;1095;;92.505,60
ABATIA;Cornélio Procópio;MADEIRAS - EM TORA P/SERRARIA - OUTRAS;M3;;990;;87.199,20
ABATIA;Cornélio Procópio;MADEIRAS - LENHA;M3;;5540;;192.736,60
ABATIA;Cornélio Procópio;MANDIOCA CONSUMO (HUMANO);TON;4;80;;65.472,00
ABATIA;Cornélio Procópio;MARACUJA;TON;5,5;126,5;;251.735,00
ABATIA;Cornélio Procópio;MEL;KG;;3000;;16.980,00
ABATIA;Cornélio Procópio;MILHO SAFRA NORMAL;TON;390;2893,8;;983.892,00
ABATIA;Cornélio Procópio;MILHO SAFRINHA;TON;4728;17928,58;;5.970.217,14
ABATIA;Cornélio Procópio;NOVILHAS;CAB;;;231;213.915,24
ABATIA;Cornélio Procópio;OVINOS (PARA CORTE);KG;;751;375;55.957,50
ABATIA;Cornélio Procópio;OVOS DE GALINHA (FECUNDADO);DZ;;476255;;2.690.840,75
ABATIA;Cornélio Procópio;PACU;KG;;;2000;10.900,00
ABATIA;Cornélio Procópio;SOJA SAFRA NORMAL;TON;7500;24450;;25.546.093,50
ABATIA;Cornélio Procópio;SUINOS-COMUM (para abate);KG;;1140;1824;350.937,60
ABATIA;Cornélio Procópio;SUINOS-RACA (para abate);KG;;292;639;204.160,50
ABATIA;Cornélio Procópio;TILAPIA;KG;;;8000;32.080,00
ABATIA;Cornélio Procópio;TOMATE RISCO;TON;1;27,5;;50.910,75
ABATIA;Cornélio Procópio;TOMATE SAFRAO;TON;6;216;;520.372,08
ABATIA;Cornélio Procópio;TOUROS;CAB;;;72;192.441,60
ABATIA;Cornélio Procópio;TRIGO;TON;1550;2914;;2.148.579,62
ABATIA;Cornélio Procópio;VACA (PARA CORTE);KG;;;406;522.643,80
ABATIA;Cornélio Procópio;VACA (PARA CRIA);CAB;;;407;651.212,21
ADRIANOPOLIS;Curitiba;ABOBORA (seca/madura);TON;19;361;;234.650,00
ADRIANOPOLIS;Curitiba;ABOBORA-TETSUKABUTO (KABOTIA);TON;3;60;;45.000,00
ADRIANOPOLIS;Curitiba;ABOBRINHA VERDE;TON;31;576;;552.960,00
ADRIANOPOLIS;Curitiba;AGRIAO AQUATICO;TON;3;61;;118.340,00
ADRIANOPOLIS;Curitiba;ALFACE;TON;1;19;;17.522,18
ADRIANOPOLIS;Curitiba;ARROZ SEQUEIRO;TON;5;5,25;;4.347,00
ADRIANOPOLIS;Curitiba;BANANA;TON;60;2700;;1.415.043,00
ADRIANOPOLIS;Curitiba;BATATA DOCE;TON;15;247;;232.180,00
ADRIANOPOLIS;Curitiba;BERINJELA;TON;5;142;;156.200,00
ADRIANOPOLIS;Curitiba;BETERRABA;TON;1;23;;23.690,00
ADRIANOPOLIS;Curitiba;BEZERRAS;CAB;;;102;61.489,68
ADRIANOPOLIS;Curitiba;BEZERROS;CAB;;0;163;119.496,93
ADRIANOPOLIS;Curitiba;BOVINOS (BOI GORDO);KG;;16972;1270;1.934.019,50
ADRIANOPOLIS;Curitiba;BUBALINOS (PARA CORTE);KG;;1978;300;431.148,00
ADRIANOPOLIS;Curitiba;CANA-DE-ACUCAR;TON;450;18990;;972.857,70
ADRIANOPOLIS;Curitiba;CAPRINOS (PARA CORTE);KG;;150;72;10.828,80
ADRIANOPOLIS;Curitiba;CAQUI;TON;2;15;;6.420,00
ADRIANOPOLIS;Curitiba;CARPA;KG;;;8000;35.360,00
ADRIANOPOLIS;Curitiba;CHUCHU;TON;25;1045;;890.622,15
ADRIANOPOLIS;Curitiba;COUVE-FLOR;TON;1;23;;84.180,00
ADRIANOPOLIS;Curitiba;ESTERCO DE SUINOS/BOVINOS;TON;;7110;;355.997,70
ADRIANOPOLIS;Curitiba;FEIJAO SAFRA DA SECA;TON;320;361,6;;961.313,60
ADRIANOPOLIS;Curitiba;FEIJAO SAFRA DAS AGUAS;TON;1200;1398,3;;3.467.322,56
ADRIANOPOLIS;Curitiba;FEIJAO-VAGEM;TON;35;663;;1.113.840,00
ADRIANOPOLIS;Curitiba;FIGO;TON;1;10;;36.600,00
ADRIANOPOLIS;Curitiba;GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO);KG;;39000;58500;977.535,00
ADRIANOPOLIS;Curitiba;GARROTES;CAB;;;542;528.471,68
ADRIANOPOLIS;Curitiba;LA;KG;;228;;544,92
ADRIANOPOLIS;Curitiba;LARANJA;TON;10;150;;38.644,50
ADRIANOPOLIS;Curitiba;LEITE;MLT;;7537,3;;6.934.316,00
ADRIANOPOLIS;Curitiba;LEITE DE BUFALA;LIT;;64350;;59.845,50
ADRIANOPOLIS;Curitiba;LEITE DE CABRA;LIT;;4490;;9.922,90
ADRIANOPOLIS;Curitiba;LIMAO;TON;2;25;;26.000,00
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/LAMINADORA - PINUS;M3;;34000;;3.621.000,00
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/OUTRAS FINALIDADES;M3;0;150000;;12.672.000,00
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/PAPEL E CELULOSE;M3;;100000;;4.874.000,00
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/SERRARIA - EUCALIPTO;M3;2900;115000;;8.827.400,00
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/SERRARIA - PINUS;M3;18100;257000;;21.336.140,00
ADRIANOPOLIS;Curitiba;MADEIRAS - LENHA;M3;;18000;;626.220,00
ADRIANOPOLIS;Curitiba;MANDIOCA CONSUMO (HUMANO);TON;1080;17118;;14.009.371,20
ADRIANOPOLIS;Curitiba;MANDIOCA INDUSTRIA;TON;270;4279,5;;1.716.635,84
ADRIANOPOLIS;Curitiba;MARACUJA;TON;20;314;;624.860,00
ADRIANOPOLIS;Curitiba;MEL;KG;;19000;;107.540,00
ADRIANOPOLIS;Curitiba;MELANCIA;TON;14;287;;163.590,00
ADRIANOPOLIS;Curitiba;MILHO SAFRA NORMAL;TON;3025;15750;;5.355.000,00
ADRIANOPOLIS;Curitiba;MILHO VERDE (espiga);UNI;3,25;130000;;49.400,00
ADRIANOPOLIS;Curitiba;MORANGA;TON;13;236;;115.640,00
ADRIANOPOLIS;Curitiba;NOVILHAS;CAB;;;280;259.291,20
ADRIANOPOLIS;Curitiba;OVINOS (PARA CORTE);KG;;140;30;4.103,55
ADRIANOPOLIS;Curitiba;OVINOS < 6 MESES;KG;;;20;2.465,68
ADRIANOPOLIS;Curitiba;OVOS DE GALINHA (PARA CONSUMO);DZ;;585000;;1.134.900,00
