code_city;city;region_code;region;variable_code;variable;group_code;standard;area;production;slaughter;gpv;cattle;production2
4100103;Abatiá;6407;Cornélio Procópio;14;ARROZ SEQUEIRO;A;TON;4;8,64;;8.946,72;;8,64
4100103;Abatiá;6407;Cornélio Procópio;3521;AVEIA PRETA (GRAO);A;TON;28;52,08;;34.893,60;;52,08
4100103;Abatiá;6407;Cornélio Procópio;1520;BANANA;C;TON;120;3000;;3.280.920,00;;3000
4100103;Abatiá;6407;Cornélio Procópio;7016;BEZERRAS;D;CAB;;;491;530.427,30;0;
4100103;Abatiá;6407;Cornélio Procópio;7015;BEZERROS;D;CAB;;;839;1.076.881,67;0;
4100103;Abatiá;6407;Cornélio Procópio;7010;BOVINOS (BOI GORDO);D;KG;;18096;751;2.009.450,70;18096;
4100103;Abatiá;6407;Cornélio Procópio;40;CAFE;A;TON;460;627,62;;4.531.416,40;;627,62
4100103;Abatiá;6407;Cornélio Procópio;7310;CAMA DE AVIARIO;D;TON;;2050;;167.628,50;;2050
4100103;Abatiá;6407;Cornélio Procópio;41;CANA-DE-ACUCAR;A;TON;480;43104;;2.892.278,40;;43104
4100103;Abatiá;6407;Cornélio Procópio;7040;CAPRINOS (PARA CORTE);D;KG;;133;23;6.803,40;133;
4100103;Abatiá;6407;Cornélio Procópio;7455;EQUINOS (PARA CORTE);D;KG;;687;0;                     -  ;687;
4100103;Abatiá;6407;Cornélio Procópio;7052;EQUINOS > 1 ANO (PARA TRABALHO);D;UNI;;;69;106.409,73;0;
4100103;Abatiá;6407;Cornélio Procópio;7312;ESTERCO DE POEDEIRA;D;TON;;1370;;147.288,70;;1370
4100103;Abatiá;6407;Cornélio Procópio;7316;ESTERCO DE SUINOS/BOVINOS;D;TON;;1110;;57.065,10;;1110
4100103;Abatiá;6407;Cornélio Procópio;93;FEIJAO SAFRA DA SECA;A;TON;4;2,16;;9.046,08;;2,16
4100103;Abatiá;6407;Cornélio Procópio;92;FEIJAO SAFRA DAS AGUAS;A;TON;28;20,16;;59.777,83;;20,16
4100103;Abatiá;6407;Cornélio Procópio;94;FEIJAO SAFRA DE INVERNO;A;TON;40;31,2;;189.987,10;;31,2
4100103;Abatiá;6407;Cornélio Procópio;3515;FENO DE ALFAFA;D;TON;280;3360;;2.320.080,00;;3360
4100103;Abatiá;6407;Cornélio Procópio;7177;FRANGO DE CORTE (AVES DE CORTE);D;KG;;225533;1353201;7.469.669,52;225533;
4100103;Abatiá;6407;Cornélio Procópio;7181;GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO);D;KG;;28060;14030;352.293,30;28060;
4100103;Abatiá;6407;Cornélio Procópio;7098;GALINHA REPRODUTORA DESCARTE (PESO VIVO);D;KG;;95000;84500;500.240,00;95000;
4100103;Abatiá;6407;Cornélio Procópio;7017;GARROTES;D;CAB;;;576;1.014.577,92;0;
4100103;Abatiá;6407;Cornélio Procópio;7014;LEITE;D;MLT;;810;;1.012.500,00;;810
4100103;Abatiá;6407;Cornélio Procópio;5260;MADEIRAS - EM TORA P/OUTRAS FINALIDADES;E;M3;;1000;;45.290,00;;1000
4100103;Abatiá;6407;Cornélio Procópio;520;MADEIRAS - EM TORA P/SERRARIA - EUCALIPTO;E;M3;175;;;                     -  ;;0
4100103;Abatiá;6407;Cornélio Procópio;5230;MADEIRAS - EM TORA P/SERRARIA - OUTRAS;E;M3;;900;;133.461,00;;900
4100103;Abatiá;6407;Cornélio Procópio;5220;MADEIRAS - LENHA;E;M3;;2500;;75.900,00;;2500
4100103;Abatiá;6407;Cornélio Procópio;203;MANDIOCA CONSUMO (HUMANO);A;TON;3;62,4;;64.272,00;;62,4
4100103;Abatiá;6407;Cornélio Procópio;1803;MARACUJA;C;TON;4;92;;276.920,00;;92
4100103;Abatiá;6407;Cornélio Procópio;7200;MEL;D;KG;;3000;;36.450,00;;3000
4100103;Abatiá;6407;Cornélio Procópio;199;MILHO SAFRA NORMAL;A;TON;15;131,4;;77.503,66;;131,4
4100103;Abatiá;6407;Cornélio Procópio;198;MILHO SAFRINHA;A;TON;4560;15321,6;;8.161.356,67;;15321,6
4100103;Abatiá;6407;Cornélio Procópio;4124;MUDA DE CAFE;A;UNI;;50000;;25.500,00;;50000
4100103;Abatiá;6407;Cornélio Procópio;7018;NOVILHAS;D;CAB;;;519;820.850,40;0;
4100103;Abatiá;6407;Cornélio Procópio;7080;OVINOS (PARA CORTE);D;KG;;499;249;60.551,82;499;
4100103;Abatiá;6407;Cornélio Procópio;7109;OVOS DE GALINHA (FECUNDADO);D;DZ;;1286302;;8.425.278,10;;1286302
4100103;Abatiá;6407;Cornélio Procópio;7105;OVOS DE GALINHA (PARA CONSUMO);D;DZ;;6726;;16.007,88;;6726
4100103;Abatiá;6407;Cornélio Procópio;7518;PACU;D;KG;;0;3000;17.970,00;;0
4100103;Abatiá;6407;Cornélio Procópio;3500;PASTAGENS E FORRAGENS;D;HA;14910;;;                     -  ;0;
4100103;Abatiá;6407;Cornélio Procópio;302;SOJA SAFRA NORMAL;A;TON;10295;28414,2;;32.468.053,91;;28414,2
4100103;Abatiá;6407;Cornélio Procópio;7096;SUINOS-RACA  (PARA ABATE);D;KG;;1080;1730;566.748,00;1080;
4100103;Abatiá;6407;Cornélio Procópio;7519;TILAPIA;D;KG;;;12000;54.000,00;;0
4100103;Abatiá;6407;Cornélio Procópio;2457;TOMATE RISCO;B;TON;6;207;;629.280,00;;207
4100103;Abatiá;6407;Cornélio Procópio;2456;TOMATE SAFRAO;B;TON;4;148,8;;305.687,28;;148,8
4100103;Abatiá;6407;Cornélio Procópio;7019;TOUROS;D;CAB;;;78;268.776,30;0;
4100103;Abatiá;6407;Cornélio Procópio;330;TRIGO;A;TON;3880;9312;;5.279.904,00;;9312
4100103;Abatiá;6407;Cornélio Procópio;7025;VACA (PARA CORTE);D;KG;;;783;1.305.104,40;0;
4100103;Abatiá;6407;Cornélio Procópio;7024;VACA (PARA CRIA);D;CAB;;;656;1.495.017,44;0;
4100202;Adrianópolis;6902;Curitiba;1502;ABACATE;C;TON;6;84;;143.934,00;;84
4100202;Adrianópolis;6902;Curitiba;2002;ABOBORA (seca/madura);B;TON;15;300;;270.000,00;;300
4100202;Adrianópolis;6902;Curitiba;2012;ABOBORA-TETSUKABUTO (KABOTIA);B;TON;3;60;;55.200,00;;60
4100202;Adrianópolis;6902;Curitiba;2016;ABOBRINHA VERDE;B;TON;35;735;;764.400,00;;735
4100202;Adrianópolis;6902;Curitiba;2001;ALFACE;B;TON;15;270;;299.400,30;;270
4100202;Adrianópolis;6902;Curitiba;1520;BANANA;C;TON;50;1500;;1.640.460,00;;1500
4100202;Adrianópolis;6902;Curitiba;2044;BATATA DOCE;B;TON;10;200;;272.000,00;;200
4100202;Adrianópolis;6902;Curitiba;2042;BERINJELA;B;TON;3;90;;119.700,00;;90
4100202;Adrianópolis;6902;Curitiba;2043;BETERRABA;B;TON;3;60;;66.782,40;;60
4100202;Adrianópolis;6902;Curitiba;7016;BEZERRAS;D;CAB;;;127;137.198,10;0;
4100202;Adrianópolis;6902;Curitiba;7015;BEZERROS;D;CAB;;;212;272.108,36;0;
4100202;Adrianópolis;6902;Curitiba;7010;BOVINOS (BOI GORDO);D;KG;;16399;1402;3.542.924,10;16399;
4100202;Adrianópolis;6902;Curitiba;2041;BROCOLOS;B;TON;2;60;;128.400,00;;60
4100202;Adrianópolis;6902;Curitiba;7020;BUBALINOS (PARA CORTE);D;KG;;2955;205;471.028,50;2955;
4100202;Adrianópolis;6902;Curitiba;41;CANA-DE-ACUCAR;A;TON;430;18060;;1.211.826,00;;18060
4100202;Adrianópolis;6902;Curitiba;3505;CAPINEIRAS (forragem verde p/alimentação animal);D;TON;3;60;;3.307,80;;60
4100202;Adrianópolis;6902;Curitiba;7040;CAPRINOS (PARA CORTE);D;KG;;150;60;13.311,00;150;
4100202;Adrianópolis;6902;Curitiba;1556;CAQUI;C;TON;2;18;;46.485,00;;18
