city_code;city;region_code;region;variable_code;variable;group_code;standard;area;production;slaughter;gpv;cattle;production2
4100103;Abatiá;6407;Cornélio Procópio;14;ARROZ SEQUEIRO;A;TON;2;4,44;;4.064,82;;4,44
4100103;Abatiá;6407;Cornélio Procópio;3523;AVEIA BRANCA;A;TON;128;273,92;;62.681,11;;273,92
4100103;Abatiá;6407;Cornélio Procópio;1520;BANANA;C;TON;120;3480;;2.556.234,00;;3480
4100103;Abatiá;6407;Cornélio Procópio;7016;BEZERRAS;D;CAB;;;1330;1.216.564,30;0;
4100103;Abatiá;6407;Cornélio Procópio;7015;BEZERROS;D;CAB;;;2202;2.365.014,06;0;
4100103;Abatiá;6407;Cornélio Procópio;7010;BOVINOS (BOI GORDO);D;KG;;17643;735;1.822.065,00;17643;
4100103;Abatiá;6407;Cornélio Procópio;40;CAFE;A;TON;450;667,8;;4.561.074,00;;667,8
4100103;Abatiá;6407;Cornélio Procópio;7310;CAMA DE AVIARIO;D;TON;;2520;;226.018,80;;2520
4100103;Abatiá;6407;Cornélio Procópio;41;CANA-DE-ACUCAR;A;TON;500;45700;;3.085.207,00;;45700
4100103;Abatiá;6407;Cornélio Procópio;7040;CAPRINOS (PARA CORTE);D;KG;;106;18;5.832,00;106;
4100103;Abatiá;6407;Cornélio Procópio;7455;EQUINOS (PARA CORTE);D;KG;;705;0;                      -  ;705;
4100103;Abatiá;6407;Cornélio Procópio;7052;EQUINOS > 1 ANO (PARA TRABALHO);D;UNI;;;70;111.430,20;0;
4100103;Abatiá;6407;Cornélio Procópio;7312;ESTERCO DE POEDEIRA;D;TON;;1370;;169.688,20;;1370
4100103;Abatiá;6407;Cornélio Procópio;7316;ESTERCO DE SUINOS/BOVINOS;D;TON;;1090;;66.860,60;;1090
4100103;Abatiá;6407;Cornélio Procópio;93;FEIJAO SAFRA DA SECA;A;TON;12;9,36;;21.273,69;;9,36
4100103;Abatiá;6407;Cornélio Procópio;92;FEIJAO SAFRA DAS AGUAS;A;TON;28;26,88;;56.748,25;;26,88
4100103;Abatiá;6407;Cornélio Procópio;94;FEIJAO SAFRA DE INVERNO;A;TON;64;46,08;;74.134,89;;46,08
4100103;Abatiá;6407;Cornélio Procópio;3515;FENO DE ALFAFA;D;TON;372;4092;;2.917.391,40;;4092
4100103;Abatiá;6407;Cornélio Procópio;7177;FRANGO DE CORTE (AVES DE CORTE);D;KG;;276739;1660435;8.161.868,24;276739;
4100103;Abatiá;6407;Cornélio Procópio;7181;GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO);D;KG;;28000;14000;374.220,00;28000;
4100103;Abatiá;6407;Cornélio Procópio;7098;GALINHA REPRODUTORA DESCARTE (PESO VIVO);D;KG;;95000;84500;531.505,00;95000;
4100103;Abatiá;6407;Cornélio Procópio;7017;GARROTES;D;CAB;;;1093;1.745.236,82;0;
4100103;Abatiá;6407;Cornélio Procópio;7014;LEITE;D;MLT;;840;;1.016.400,00;;840
4100103;Abatiá;6407;Cornélio Procópio;5260;MADEIRAS - EM TORA P/OUTRAS FINALIDADES;E;M3;;900;;24.867,00;;900
