city_code;city;region_code;region;variable_code;variable;group_code;standard;area;production;slaughter;gpv;cattle;production2;year
4100103;Abatiá;6407;Cornélio Procópio;14;ARROZ SEQUEIRO;A;TON;2;4;;3275;;4;2018
4100103;Abatiá;6407;Cornélio Procópio;1520;BANANA;C;TON;120;3480;;2138634;;3480;2018
4100103;Abatiá;6407;Cornélio Procópio;7016;BEZERRAS;D;CAB;;;1575;1457647;0;;2018
4100103;Abatiá;6407;Cornélio Procópio;7015;BEZERROS;D;CAB;;;1980;2258210;0;;2018
4100103;Abatiá;6407;Cornélio Procópio;7010;BOVINOS (BOI GORDO);D;KG;;17067;887;2301499;17067;;2018
4100103;Abatiá;6407;Cornélio Procópio;7020;BUBALINOS (PARA CORTE);D;KG;;8;2;4746;8;;2018
4100103;Abatiá;6407;Cornélio Procópio;40;CAFE;A;TON;470;677;;4304448;;677;2018
4100103;Abatiá;6407;Cornélio Procópio;7310;CAMA DE AVIARIO;D;TON;;2780;;255843;;2780;2018
4100103;Abatiá;6407;Cornélio Procópio;41;CANA-DE-ACUCAR;A;TON;420;36960;;2450078;;36960;2018
4100103;Abatiá;6407;Cornélio Procópio;7040;CAPRINOS (PARA CORTE);D;KG;;91;15;5268;91;;2018
4100103;Abatiá;6407;Cornélio Procópio;7052;EQUINOS > 1 ANO (PARA TRABALHO);D;UNI;;;85;142420;0;;2018
4100103;Abatiá;6407;Cornélio Procópio;7312;ESTERCO DE POEDEIRA;D;TON;;2320;;293898;;2320;2018
4100103;Abatiá;6407;Cornélio Procópio;7316;ESTERCO DE SUINOS/BOVINOS;D;TON;;1230;;57146;;1230;2018
4100103;Abatiá;6407;Cornélio Procópio;93;FEIJAO SAFRA DA SECA;A;TON;2;2;;3237;;2;2018
4100103;Abatiá;6407;Cornélio Procópio;92;FEIJAO SAFRA DAS AGUAS;A;TON;24;27;;44519;;27;2018
4100103;Abatiá;6407;Cornélio Procópio;94;FEIJAO SAFRA DE INVERNO;A;TON;6;4;;5842;;4;2018
4100103;Abatiá;6407;Cornélio Procópio;3515;FENO DE ALFAFA;D;TON;380;3724;;3092447;;3724;2018
4100103;Abatiá;6407;Cornélio Procópio;7177;FRANGO DE CORTE (AVES DE CORTE);D;KG;;305726;1834360;9681752;305726;;2018
4100103;Abatiá;6407;Cornélio Procópio;7181;GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO);D;KG;;27000;13000;406770;27000;;2018
4100103;Abatiá;6407;Cornélio Procópio;7098;GALINHA REPRODUTORA DESCARTE (PESO VIVO);D;KG;;160000;142000;640988;160000;;2018
4100103;Abatiá;6407;Cornélio Procópio;7017;GARROTES;D;CAB;;;1345;2131812;0;;2018
4100103;Abatiá;6407;Cornélio Procópio;7014;LEITE;D;MLT;;1450;;1870500;;1450;2018
4100103;Abatiá;6407;Cornélio Procópio;5260;MADEIRAS - EM TORA P/OUTRAS FINALIDADES;E;M3;;800;;21168;;800;2018
4100103;Abatiá;6407;Cornélio Procópio;5230;MADEIRAS - EM TORA P/SERRARIA - OUTRAS;E;M3;;780;;67720;;780;2018
4100103;Abatiá;6407;Cornélio Procópio;5220;MADEIRAS - LENHA;E;M3;;2100;;63336;;2100;2018
4100103;Abatiá;6407;Cornélio Procópio;203;MANDIOCA CONSUMO (HUMANO);A;TON;8;157;;136416;;157;2018
4100103;Abatiá;6407;Cornélio Procópio;1803;MARACUJA;C;TON;4;92;;215280;;92;2018
4100103;Abatiá;6407;Cornélio Procópio;7200;MEL;D;KG;;2850;;36138;;2850;2018
4100103;Abatiá;6407;Cornélio Procópio;199;MILHO SAFRA NORMAL;A;TON;100;888;;453475;;888;2018
4100103;Abatiá;6407;Cornélio Procópio;198;MILHO SAFRINHA;A;TON;5660;15622;;7724881;;15622;2018
4100103;Abatiá;6407;Cornélio Procópio;4124;MUDA DE CAFE;A;UNI;;50000;;34500;;50000;2018
4100103;Abatiá;6407;Cornélio Procópio;7018;NOVILHAS;D;CAB;;;1891;2625294;0;;2018
4100103;Abatiá;6407;Cornélio Procópio;7080;OVINOS (PARA CORTE);D;KG;;383;191;56246;383;;2018
4100103;Abatiá;6407;Cornélio Procópio;7109;OVOS DE GALINHA (FECUNDADO);D;DZ;;1094930;;7653561;;1094930;2018
4100103;Abatiá;6407;Cornélio Procópio;7518;PACU;D;KG;;;3000;20580;;0;2018
4100103;Abatiá;6407;Cornélio Procópio;3500;PASTAGENS E FORRAGENS;D;HA;14280;;;0;0;;2018
4100103;Abatiá;6407;Cornélio Procópio;302;SOJA SAFRA NORMAL;A;TON;10600;33708;;39162966;;33708;2018
4100103;Abatiá;6407;Cornélio Procópio;7096;SUINOS-RACA  (PARA ABATE);D;KG;;1030;1750;561015;1030;;2018
4100103;Abatiá;6407;Cornélio Procópio;7519;TILAPIA;D;KG;;;8000;39280;;0;2018
4100103;Abatiá;6407;Cornélio Procópio;2457;TOMATE RISCO;B;TON;8;286;;633412;;286;2018
4100103;Abatiá;6407;Cornélio Procópio;2456;TOMATE SAFRAO;B;TON;5;227;;495748;;227;2018
4100103;Abatiá;6407;Cornélio Procópio;7019;TOUROS;D;CAB;;;12;37892;0;;2018
4100103;Abatiá;6407;Cornélio Procópio;330;TRIGO;A;TON;3490;2932;;2190404;;2932;2018
4100103;Abatiá;6407;Cornélio Procópio;7025;VACA (PARA CORTE);D;KG;;;1048;1658146;0;;2018
4100103;Abatiá;6407;Cornélio Procópio;7024;VACA (PARA CRIA);D;CAB;;;46;87213;0;;2018
4100202;Adrianópolis;6902;Curitiba;1502;ABACATE;C;TON;6;72;;133848;;72;2018
4100202;Adrianópolis;6902;Curitiba;1501;ABACAXI;C;TON;2;18;;23040;;18;2018
4100202;Adrianópolis;6902;Curitiba;2002;ABOBORA (seca/madura);B;TON;12;240;;220800;;240;2018
4100202;Adrianópolis;6902;Curitiba;2012;ABOBORA-TETSUKABUTO (KABOTIA);B;TON;2;42;;26460;;42;2018
4100202;Adrianópolis;6902;Curitiba;2016;ABOBRINHA VERDE;B;TON;40;920;;809600;;920;2018
4100202;Adrianópolis;6902;Curitiba;2001;ALFACE;B;TON;10;195;;231184;;195;2018
4100202;Adrianópolis;6902;Curitiba;14;ARROZ SEQUEIRO;A;TON;10;18;;14037;;18;2018
4100202;Adrianópolis;6902;Curitiba;1520;BANANA;C;TON;100;3200;;1966560;;3200;2018
4100202;Adrianópolis;6902;Curitiba;2044;BATATA DOCE;B;TON;10;200;;256000;;200;2018
4100202;Adrianópolis;6902;Curitiba;2042;BERINJELA;B;TON;2;56;;40320;;56;2018
