city_code;city;code_region;region;variable_code;variable;group_code;standard;area;production;slaughter;gpv;cattle;production2
4100707;Alto Piquiri;8104;Umuarama;1;ALGODAO;A;TON;75;114;;321936;;
4101101;Andirá;6407;Cornélio Procópio;1;ALGODAO;A;TON;7,3;16,4;;46313,6;;
4101903;Assaí;6407;Cornélio Procópio;1;ALGODAO;A;TON;24,2;54,45;;153766,8;;
4102505;Barbosa Ferraz;4303;Campo Mourão;1;ALGODAO;A;TON;10;25;;70600;;
4104303;Campo Mourão;4303;Campo Mourão;1;ALGODAO;A;TON;3;5,58;;15757,92;;
4107553;Farol;4303;Campo Mourão;1;ALGODAO;A;TON;10;27,8;;78507,2;;
4109807;Ibiporã;3700;Londrina;1;ALGODAO;A;TON;9;26,47;;74751,28;;
4110904;Itaguajé;5200;Maringá;1;ALGODAO;A;TON;70;140;;395360;;
4112603;Jardim Olinda;8402;Paranavaí;1;ALGODAO;A;TON;51;28,56;;80653,44;;
4118857;Perobal;8104;Umuarama;1;ALGODAO;A;TON;43;74,82;;211291,68;;
4119657;Pitangueiras;3700;Londrina;1;ALGODAO;A;TON;10;23,85;;67352,4;;
4120002;Porecatu;3700;Londrina;1;ALGODAO;A;TON;10;37,53;;105984,72;;
4123600;Santa Inês;5200;Maringá;1;ALGODAO;A;TON;15;22,5;;63540;;
4124509;Santo Inácio;5200;Maringá;1;ALGODAO;A;TON;16;15,87;;44816,88;;
4126504;Sertanópolis;3700;Londrina;1;ALGODAO;A;TON;6;13,79;;38942,96;;
4100459;Altamira do Paraná;4303;Campo Mourão;13;AMENDOIM SAFRA DA SECA;A;TON;1;2;;4419,2;;
4100608;Alto Paraná;8402;Paranavaí;13;AMENDOIM SAFRA DA SECA;A;TON;247;382,85;;845945,4;;
4100707;Alto Piquiri;8104;Umuarama;13;AMENDOIM SAFRA DA SECA;A;TON;87;174;;384470,42;;
4100806;Alvorada do Sul;3700;Londrina;13;AMENDOIM SAFRA DA SECA;A;TON;2;4;;8838,4;;
4101002;Ampére;8403;Francisco Beltrão;13;AMENDOIM SAFRA DA SECA;A;TON;7;13,3;;29387,68;;
4101051;Anahy;4808;Cascavel;13;AMENDOIM SAFRA DA SECA;A;TON;4;7,8;;17234,88;;
4101309;Antônio Olinto;8203;União da Vitória;13;AMENDOIM SAFRA DA SECA;A;TON;2;2;;4419,2;;
4101408;Apucarana;1408;Apucarana;13;AMENDOIM SAFRA DA SECA;A;TON;4;9,2;;20328,32;;
4101507;Arapongas;1408;Apucarana;13;AMENDOIM SAFRA DA SECA;A;TON;1;1,8;;3977,28;;
4101655;Arapuã;1506;Ivaiporã;13;AMENDOIM SAFRA DA SECA;A;TON;0,5;1;;2209,6;;
4101705;Araruna;4303;Campo Mourão;13;AMENDOIM SAFRA DA SECA;A;TON;4;8,8;;19444,48;;
4101853;Ariranha do Ivaí;1506;Ivaiporã;13;AMENDOIM SAFRA DA SECA;A;TON;0,5;1;;2209,6;;
4102208;Atalaia;5200;Maringá;13;AMENDOIM SAFRA DA SECA;A;TON;1;1,5;;3314,4;;
4102505;Barbosa Ferraz;4303;Campo Mourão;13;AMENDOIM SAFRA DA SECA;A;TON;8;16;;35353,6;;
4102604;Barracão;8403;Francisco Beltrão;13;AMENDOIM SAFRA DA SECA;A;TON;5;9,5;;20991,2;;
4102703;Barra do Jacaré;1803;Jacarezinho;13;AMENDOIM SAFRA DA SECA;A;TON;1;1,8;;3977,28;;
4102752;Bela Vista da Caroba;8403;Francisco Beltrão;13;AMENDOIM SAFRA DA SECA;A;TON;5;10;;22096;;
4102901;Bituruna;8203;União da Vitória;13;AMENDOIM SAFRA DA SECA;A;TON;3;3;;6628,8;;
4103008;Boa Esperança;4303;Campo Mourão;13;AMENDOIM SAFRA DA SECA;A;TON;1;3,5;;7733,6;;
4103024;Boa Esperança do Iguaçu;7207;Dois Vizinhos;13;AMENDOIM SAFRA DA SECA;A;TON;1;2,1;;4640,16;;
4103040;Boa Ventura de São Roque;9608;Pitanga;13;AMENDOIM SAFRA DA SECA;A;TON;2;4;;8838,4;;
4103057;Boa Vista da Aparecida;4808;Cascavel;13;AMENDOIM SAFRA DA SECA;A;TON;4;8;;17676,8;;
4103156;Bom Jesus do Sul;8403;Francisco Beltrão;13;AMENDOIM SAFRA DA SECA;A;TON;5;9,5;;20991,2;;
4103206;Bom Sucesso;1408;Apucarana;13;AMENDOIM SAFRA DA SECA;A;TON;2;4;;8838,4;;
4103305;Borrazópolis;1506;Ivaiporã;13;AMENDOIM SAFRA DA SECA;A;TON;1;2;;4419,2;;
4103354;Braganey;4808;Cascavel;13;AMENDOIM SAFRA DA SECA;A;TON;3;6;;13257,6;;
4103453;Cafelândia;4808;Cascavel;13;AMENDOIM SAFRA DA SECA;A;TON;1;1,95;;4308,72;;
4103503;Califórnia;1408;Apucarana;13;AMENDOIM SAFRA DA SECA;A;TON;6;9;;19886,4;;
4103701;Cambé;3700;Londrina;13;AMENDOIM SAFRA DA SECA;A;TON;30;60;;132576,01;;
4103800;Cambira;1408;Apucarana;13;AMENDOIM SAFRA DA SECA;A;TON;4;10;;22096;;
4103909;Campina da Lagoa;4303;Campo Mourão;13;AMENDOIM SAFRA DA SECA;A;TON;2;4;;8838,4;;
4104055;Campo Bonito;4808;Cascavel;13;AMENDOIM SAFRA DA SECA;A;TON;5;9,75;;21543,6;;
4104303;Campo Mourão;4303;Campo Mourão;13;AMENDOIM SAFRA DA SECA;A;TON;1;2;;4419,2;;
4104402;Cândido de Abreu;9608;Pitanga;13;AMENDOIM SAFRA DA SECA;A;TON;1;2;;4419,2;;
4104428;Candói;9401;Guarapuava;13;AMENDOIM SAFRA DA SECA;A;TON;2;3;;6628,8;;
4104451;Cantagalo;9401;Guarapuava;13;AMENDOIM SAFRA DA SECA;A;TON;1;1,4;;3093,44;;
4104501;Capanema;8403;Francisco Beltrão;13;AMENDOIM SAFRA DA SECA;A;TON;18;37,8;;83522,88;;
