harvest;code_city;city;nr;group;code_variable;variable;standard;area;herd;slaughter;load;production;gpv
19/20;4100202;Adrianópolis;Curitiba;C;1502;ABACATE;TON;6;;;;75;177675
19/20;4100509;Altônia;Umuarama;C;1502;ABACATE;TON;50;;;;1000;2369000
19/20;4100608;Alto Paraná;Paranavaí;C;1502;ABACATE;TON;1;;;;10;23690
19/20;4100806;Alvorada do Sul;Londrina;C;1502;ABACATE;TON;3;;;;30;71070
19/20;4101002;Ampére;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;23;54487
19/20;4101051;Anahy;Cascavel;C;1502;ABACATE;TON;2;;;;50;118450
19/20;4101101;Andirá;Cornélio Procópio;C;1502;ABACATE;TON;6;;;;55,2;130768,8
19/20;4101408;Apucarana;Apucarana;C;1502;ABACATE;TON;186;;;;2232;5287608
19/20;4101507;Arapongas;Apucarana;C;1502;ABACATE;TON;142;;;;2201;5214169
19/20;4101655;Arapuã;Ivaiporã;C;1502;ABACATE;TON;1;;;;15;35535
19/20;4101853;Ariranha do Ivaí;Ivaiporã;C;1502;ABACATE;TON;2;;;;10;23690
19/20;4101903;Assaí;Cornélio Procópio;C;1502;ABACATE;TON;105;;;;2100;4974900
19/20;4102000;Assis Chateaubriand;Toledo;C;1502;ABACATE;TON;2;;;;60;142140
19/20;4102109;Astorga;Maringá;C;1502;ABACATE;TON;0,5;;;;10;23690
19/20;4102307;Balsa Nova;Curitiba;C;1502;ABACATE;TON;1;;;;18;42642
19/20;4102505;Barbosa Ferraz;Campo Mourão;C;1502;ABACATE;TON;2;;;;38;90022
19/20;4102604;Barracão;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;30;71070
19/20;4102703;Barra do Jacaré;Jacarezinho;C;1502;ABACATE;TON;2;;;;40;94760
19/20;4102752;Bela Vista da Caroba;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;25;59225
19/20;4102802;Bela Vista do Paraíso;Londrina;C;1502;ABACATE;TON;2;;;;30;71070
19/20;4102901;Bituruna;União da Vitória;C;1502;ABACATE;TON;1;;;;20;47380
19/20;4103024;Boa Esperança do Iguaçu;Dois Vizinhos;C;1502;ABACATE;TON;1;;;;30;71070
19/20;4103040;Boa Ventura de São Roque;Pitanga;C;1502;ABACATE;TON;1;;;;15;35535
19/20;4103057;Boa Vista da Aparecida;Cascavel;C;1502;ABACATE;TON;2;;;;39;92391
19/20;4103156;Bom Jesus do Sul;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;30;71070
19/20;4103206;Bom Sucesso;Apucarana;C;1502;ABACATE;TON;2;;;;24;56856
19/20;4103305;Borrazópolis;Ivaiporã;C;1502;ABACATE;TON;8;;;;150;355350
19/20;4103354;Braganey;Cascavel;C;1502;ABACATE;TON;2;;;;45;106605
19/20;4103453;Cafelândia;Cascavel;C;1502;ABACATE;TON;0,5;;;;10;23690
19/20;4103479;Cafezal do Sul;Umuarama;C;1502;ABACATE;TON;2;;;;60;142140
19/20;4103503;Califórnia;Apucarana;C;1502;ABACATE;TON;40;;;;1400;3316600
19/20;4103701;Cambé;Londrina;C;1502;ABACATE;TON;11;;;;220;521180
19/20;4103958;Campina do Simão;Guarapuava;C;1502;ABACATE;TON;1;;;;18;42642
19/20;4104055;Campo Bonito;Cascavel;C;1502;ABACATE;TON;1;;;;19;45011
19/20;4104303;Campo Mourão;Campo Mourão;C;1502;ABACATE;TON;1;;;;18;42642
19/20;4104402;Cândido de Abreu;Pitanga;C;1502;ABACATE;TON;0,2;;;;2;4738
19/20;4104428;Candói;Guarapuava;C;1502;ABACATE;TON;2;;;;48;113712
19/20;4104501;Capanema;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;26;61594
19/20;4104600;Capitão Leônidas Marques;Cascavel;C;1502;ABACATE;TON;4;;;;74;175306
19/20;4104709;Carlópolis;Jacarezinho;C;1502;ABACATE;TON;70;;;;1350;3198150
19/20;4104808;Cascavel;Cascavel;C;1502;ABACATE;TON;3;;;;50;118450
19/20;4104907;Castro;Ponta Grossa;C;1502;ABACATE;TON;1;;;;8,5;20136,5
19/20;4105003;Catanduvas;Cascavel;C;1502;ABACATE;TON;1,5;;;;27;63963
19/20;4105102;Centenário do Sul;Londrina;C;1502;ABACATE;TON;1;;;;8;18952
19/20;4105201;Cerro Azul;Curitiba;C;1502;ABACATE;TON;15;;;;165;390885
19/20;4105300;Céu Azul;Cascavel;C;1502;ABACATE;TON;1,5;;;;23;54487
19/20;4105409;Chopinzinho;Pato Branco;C;1502;ABACATE;TON;2;;;;10;23690
19/20;4105508;Cianorte;Cianorte;C;1502;ABACATE;TON;1;;;;15;35535
19/20;4105607;Cidade Gaúcha;Cianorte;C;1502;ABACATE;TON;1;;;;10;23690
19/20;4105904;Colorado;Maringá;C;1502;ABACATE;TON;0,5;;;;5;11845
19/20;4106100;Conselheiro Mairinck;Jacarezinho;C;1502;ABACATE;TON;1;;;;20;47380
19/20;4106308;Corbélia;Cascavel;C;1502;ABACATE;TON;2;;;;28;66332
19/20;4106407;Cornélio Procópio;Cornélio Procópio;C;1502;ABACATE;TON;10;;;;250;592250
19/20;4106456;Coronel Domingos Soares;Pato Branco;C;1502;ABACATE;TON;0,1;;;;3;7107
19/20;4106506;Coronel Vivida;Pato Branco;C;1502;ABACATE;TON;2;;;;30;71070
19/20;4106555;Corumbataí do Sul;Campo Mourão;C;1502;ABACATE;TON;13;;;;195;461955
19/20;4106571;Cruzeiro do Iguaçu;Dois Vizinhos;C;1502;ABACATE;TON;1;;;;29;68701
19/20;4106605;Cruzeiro do Oeste;Umuarama;C;1502;ABACATE;TON;11;;;;275;651475
19/20;4106803;Cruz Machado;União da Vitória;C;1502;ABACATE;TON;1;;;;8;18952
19/20;4106852;Cruzmaltina;Ivaiporã;C;1502;ABACATE;TON;42;;;;800;1895200
19/20;4107009;Curiúva;Jacarezinho;C;1502;ABACATE;TON;4;;;;40;94760
19/20;4107108;Diamante do Norte;Paranavaí;C;1502;ABACATE;TON;12;;;;144;341136
19/20;4107124;Diamante do Sul;Laranjeiras do Sul;C;1502;ABACATE;TON;0,1;;;;0,5;1184,5
19/20;4107157;Diamante D'Oeste;Cascavel;C;1502;ABACATE;TON;2;;;;37;87653
19/20;4107207;Dois Vizinhos;Dois Vizinhos;C;1502;ABACATE;TON;1;;;;25;59225
19/20;4107306;Doutor Camargo;Maringá;C;1502;ABACATE;TON;0,5;;;;10;23690
19/20;4107405;Enéas Marques;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;28;66332
19/20;4107504;Engenheiro Beltrão;Campo Mourão;C;1502;ABACATE;TON;3;;;;54;127926
19/20;4107520;Esperança Nova;Umuarama;C;1502;ABACATE;TON;2;;;;60;142140
19/20;4107546;Espigão Alto do Iguaçu;Laranjeiras do Sul;C;1502;ABACATE;TON;0,1;;;;4;9476
19/20;4107603;Faxinal;Ivaiporã;C;1502;ABACATE;TON;20;;;;400;947600
