code;variable;population;year;gender;level;group
4100103;0 a 4;227;2020;man;1;younger
4100103;5 a 9;234;2020;man;2;younger
4100103;10 a 14;230;2020;man;3;younger
4100103;15 a 19;224;2020;man;4;worker
4100103;20 a 24;261;2020;man;5;worker
4100103;25 a 29;316;2020;man;6;worker
4100103;30 a 34;256;2020;man;7;worker
4100103;35 a 39;271;2020;man;8;worker
4100103;40 a 44;268;2020;man;9;worker
4100103;45 a 49;256;2020;man;10;worker
4100103;50 a 54;300;2020;man;11;worker
4100103;55 a 59;268;2020;man;12;worker
4100103;60 a 64;228;2020;man;13;worker
4100103;> 65;469;2020;man;14;older
4100202;0 a 4;261;2020;man;1;younger
4100202;5 a 9;254;2020;man;2;younger
4100202;10 a 14;209;2020;man;3;younger
4100202;15 a 19;227;2020;man;4;worker
4100202;20 a 24;261;2020;man;5;worker
4100202;25 a 29;287;2020;man;6;worker
4100202;30 a 34;207;2020;man;7;worker
4100202;35 a 39;226;2020;man;8;worker
4100202;40 a 44;203;2020;man;9;worker
4100202;45 a 49;198;2020;man;10;worker
4100202;50 a 54;223;2020;man;11;worker
4100202;55 a 59;200;2020;man;12;worker
4100202;60 a 64;187;2020;man;13;worker
4100202;> 65;468;2020;man;14;older
4100301;0 a 4;364;2020;man;1;younger
4100301;5 a 9;354;2020;man;2;younger
4100301;10 a 14;301;2020;man;3;younger
4100301;15 a 19;313;2020;man;4;worker
4100301;20 a 24;409;2020;man;5;worker
4100301;25 a 29;455;2020;man;6;worker
4100301;30 a 34;320;2020;man;7;worker
4100301;35 a 39;365;2020;man;8;worker
4100301;40 a 44;348;2020;man;9;worker
4100301;45 a 49;355;2020;man;10;worker
4100301;50 a 54;347;2020;man;11;worker
4100301;55 a 59;364;2020;man;12;worker
4100301;60 a 64;274;2020;man;13;worker
4100301;> 65;432;2020;man;14;older
4100400;0 a 4;5411;2020;man;1;younger
4100400;5 a 9;5065;2020;man;2;younger
4100400;10 a 14;4761;2020;man;3;younger
4100400;15 a 19;4824;2020;man;4;worker
4100400;20 a 24;5648;2020;man;5;worker
4100400;25 a 29;5059;2020;man;6;worker
4100400;30 a 34;4663;2020;man;7;worker
4100400;35 a 39;4345;2020;man;8;worker
4100400;40 a 44;4041;2020;man;9;worker
4100400;45 a 49;3823;2020;man;10;worker
4100400;50 a 54;3411;2020;man;11;worker
4100400;55 a 59;2685;2020;man;12;worker
4100400;60 a 64;2141;2020;man;13;worker
4100400;> 65;3729;2020;man;14;older
4100459;0 a 4;117;2020;man;1;younger
4100459;5 a 9;129;2020;man;2;younger
4100459;10 a 14;113;2020;man;3;younger
4100459;15 a 19;135;2020;man;4;worker
4100459;20 a 24;136;2020;man;5;worker
4100459;25 a 29;136;2020;man;6;worker
4100459;30 a 34;107;2020;man;7;worker
4100459;35 a 39;113;2020;man;8;worker
4100459;40 a 44;130;2020;man;9;worker
4100459;45 a 49;108;2020;man;10;worker
4100459;50 a 54;141;2020;man;11;worker
4100459;55 a 59;148;2020;man;12;worker
4100459;60 a 64;104;2020;man;13;worker
4100459;> 65;325;2020;man;14;older
4128625;0 a 4;107;2020;man;1;younger
4128625;5 a 9;102;2020;man;2;younger
4128625;10 a 14;100;2020;man;3;younger
4128625;15 a 19;109;2020;man;4;worker
4128625;20 a 24;98;2020;man;5;worker
4128625;25 a 29;108;2020;man;6;worker
4128625;30 a 34;116;2020;man;7;worker
4128625;35 a 39;92;2020;man;8;worker
4128625;40 a 44;124;2020;man;9;worker
4128625;45 a 49;126;2020;man;10;worker
4128625;50 a 54;120;2020;man;11;worker
4128625;55 a 59;122;2020;man;12;worker
4128625;60 a 64;97;2020;man;13;worker
4128625;> 65;174;2020;man;14;older
4100608;0 a 4;501;2020;man;1;younger
4100608;5 a 9;493;2020;man;2;younger
4100608;10 a 14;507;2020;man;3;younger
4100608;15 a 19;488;2020;man;4;worker
4100608;20 a 24;541;2020;man;5;worker
4100608;25 a 29;607;2020;man;6;worker
4100608;30 a 34;541;2020;man;7;worker
4100608;35 a 39;510;2020;man;8;worker
4100608;40 a 44;543;2020;man;9;worker
4100608;45 a 49;520;2020;man;10;worker
4100608;50 a 54;527;2020;man;11;worker
