code;city;code_region;code_variable;variable;level;code_level;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
4100103;Abatiá;1;1;IDEB;Fundamental anos iniciais;1;;5,1;;5;;5,5;;5,9;;6,1
4100103;Abatiá;1;1;IDEB;Fundamental anos finais;2;;3,5;;3,5;;4;;5,1;;5,2
4100103;Abatiá;1;1;IDEB;Ensino médio;3;;;;;;;;3,5;;4,2
4100103;Abatiá;1;2;IDEB meta projetada;Fundamental anos iniciais;1;;4,8;;5,1;;5,4;;5,6;;5,9
4100103;Abatiá;1;2;IDEB meta projetada;Fundamental anos finais;2;;3,8;;4,2;;4,6;;4,9;;5,1
4100103;Abatiá;1;2;IDEB meta projetada;Ensino médio;3;;;;;;;;;;3,7
4100103;Abatiá;1;3;Taxa de aprovação (em %);Fundamental anos iniciais;1;93,4;93,9;91,5;91;93,5;95,5;90,3;93;92,5;94,7
4100103;Abatiá;1;3;Taxa de aprovação (em %);Fundamental anos finais;2;92,2;87,9;90,6;85,2;87,1;84,8;88,5;95,5;95;98,4
4100103;Abatiá;1;3;Taxa de aprovação (em %);Ensino médio;3;77,4;79,4;79;78,4;77,5;74,1;81,6;86,4;86,9;96,6
4100103;Abatiá;1;4;Taxa de reprovação (em %);Fundamental anos iniciais;1;6,4;5,9;8,5;8,8;6,5;4;9,7;7;7,5;5,1
4100103;Abatiá;1;4;Taxa de reprovação (em %);Fundamental anos finais;2;4,6;6;9;14,8;11,2;13,9;11,5;4,5;5;1,6
4100103;Abatiá;1;4;Taxa de reprovação (em %);Ensino médio;3;22,6;20,6;18,8;21,6;22,5;25,9;18,4;13,6;13,1;1
4100103;Abatiá;1;6;Taxa de abandono (em %);Fundamental anos iniciais;1;0,2;0,2;;0,2;;0,5;;;;0,2
4100103;Abatiá;1;6;Taxa de abandono (em %);Fundamental anos finais;2;3,2;6,1;0,4;;1,7;1,3;;;;
4100103;Abatiá;1;6;Taxa de abandono (em %);Ensino médio;3;;;2,2;;;;;;;2,4
4100103;Abatiá;1;5;Taxa de distorção (em %);Fundamental anos iniciais;1;14,3;11,5;10,9;9,1;9,4;7,6;7,8;12,3;13,9;13,8
4100103;Abatiá;1;5;Taxa de distorção (em %);Fundamental anos finais;2;25,6;26,7;25,1;30,5;22,9;24,9;23,3;17,8;16,3;14,8
4100103;Abatiá;1;5;Taxa de distorção (em %);Ensino médio;3;37,9;30,4;30,8;31,2;30,4;29,7;30,9;32,8;31,1;21,4
4100202;Adrianópolis;9;1;IDEB;Fundamental anos iniciais;1;;5,1;;5;;5,1;;5,7;;6,7
4100202;Adrianópolis;9;1;IDEB;Fundamental anos finais;2;;3,9;;3,4;;3,5;;4;;
4100202;Adrianópolis;9;1;IDEB;Ensino médio;3;;;;;;;;3;;3,8
4100202;Adrianópolis;9;2;IDEB meta projetada;Fundamental anos iniciais;1;;4,7;;5;;5,3;;5,5;;5,8
4100202;Adrianópolis;9;2;IDEB meta projetada;Fundamental anos finais;2;;4;;4,4;;4,8;;5;;5,3
4100202;Adrianópolis;9;2;IDEB meta projetada;Ensino médio;3;;;;;;;;;;3,2
4100202;Adrianópolis;9;3;Taxa de aprovação (em %);Fundamental anos iniciais;1;99,1;99,8;96,2;98,7;96,4;94,7;99,6;99,6;99,3;99,7
4100202;Adrianópolis;9;3;Taxa de aprovação (em %);Fundamental anos finais;2;89,5;89,4;91,5;91,7;94,6;92,7;87,8;94;95,7;98,8
4100202;Adrianópolis;9;3;Taxa de aprovação (em %);Ensino médio;3;85,1;81,7;88,8;90,7;89;87;88,6;85,8;90,3;95,1
4100202;Adrianópolis;9;4;Taxa de reprovação (em %);Fundamental anos iniciais;1;0,6;0,2;3,8;1,3;3,4;4,6;0,4;0,2;0,5;0,3
4100202;Adrianópolis;9;4;Taxa de reprovação (em %);Fundamental anos finais;2;8,5;6;6,6;5,5;3,6;5,1;9,4;5,4;4;1,2
4100202;Adrianópolis;9;4;Taxa de reprovação (em %);Ensino médio;3;11;10,5;6,3;5,2;6,1;6,9;4,1;11,1;8,4;3,9
4100202;Adrianópolis;9;6;Taxa de abandono (em %);Fundamental anos iniciais;1;0,3;;;;0,2;0,7;;0,2;0,2;
4100202;Adrianópolis;9;6;Taxa de abandono (em %);Fundamental anos finais;2;2;4,6;1,9;2,8;1,8;2,2;2,8;0,6;0,3;
4100202;Adrianópolis;9;6;Taxa de abandono (em %);Ensino médio;3;3,9;7,8;4,9;4,1;4,9;6,1;7,3;3,1;1,3;1
4100202;Adrianópolis;9;5;Taxa de distorção (em %);Fundamental anos iniciais;1;13,2;9,5;6,4;6,6;4,6;3,8;4,5;3;1,6;2,3
4100202;Adrianópolis;9;5;Taxa de distorção (em %);Fundamental anos finais;2;28,1;27,2;26,3;25,3;17,8;17,8;16,6;11,2;12,4;7,4
4100202;Adrianópolis;9;5;Taxa de distorção (em %);Ensino médio;3;36,9;32,8;29,6;28,9;27,1;25,6;26,4;25,3;23,8;17
4100301;Agudos do Sul;9;1;IDEB;Fundamental anos iniciais;1;;4,4;;4,9;;5,3;;5,2;;5,8
4100301;Agudos do Sul;9;1;IDEB;Fundamental anos finais;2;;3,9;;4,2;;4,1;;4,5;;
4100301;Agudos do Sul;9;1;IDEB;Ensino médio;3;;;;;;;;3,6;;
4100301;Agudos do Sul;9;2;IDEB meta projetada;Fundamental anos iniciais;1;;5;;5,3;;5,5;;5,8;;6,1
4100301;Agudos do Sul;9;2;IDEB meta projetada;Fundamental anos finais;2;;4,5;;4,9;;5,3;;5,5;;5,8
4100301;Agudos do Sul;9;2;IDEB meta projetada;Ensino médio;3;;;;;;;;;;3,8
4100301;Agudos do Sul;9;3;Taxa de aprovação (em %);Fundamental anos iniciais;1;78,4;83,5;88,9;89,1;91,2;89,5;92,7;87,6;91,6;95
4100301;Agudos do Sul;9;3;Taxa de aprovação (em %);Fundamental anos finais;2;86,7;82,2;84,9;86,8;86,2;85,4;77,1;82,9;79,5;88,5
4100301;Agudos do Sul;9;3;Taxa de aprovação (em %);Ensino médio;3;87,3;83,7;91,4;80,4;86;80,5;80,5;81,3;75,6;85,4
4100301;Agudos do Sul;9;4;Taxa de reprovação (em %);Fundamental anos iniciais;1;18,6;14,9;10,1;9,2;8,4;9,7;7,2;11,8;8,4;4,8
4100301;Agudos do Sul;9;4;Taxa de reprovação (em %);Fundamental anos finais;2;4,8;11,7;9,8;11,5;9;10;19;13,6;16,7;11,3
4100301;Agudos do Sul;9;4;Taxa de reprovação (em %);Ensino médio;3;4,8;6,5;8,6;19,6;7,7;6,4;8,4;4,4;10,2;14,6
4100301;Agudos do Sul;9;6;Taxa de abandono (em %);Fundamental anos iniciais;1;3;1,6;1;1,7;0,4;0,8;0,1;0,6;;0,2
4100301;Agudos do Sul;9;6;Taxa de abandono (em %);Fundamental anos finais;2;8,5;6,1;5,3;1,7;4,8;4,6;3,9;3,5;3,8;0,2
4100301;Agudos do Sul;9;6;Taxa de abandono (em %);Ensino médio;3;7,9;9,8;;;6,3;13,1;11,1;14,3;14,2;
4100301;Agudos do Sul;9;5;Taxa de distorção (em %);Fundamental anos iniciais;1;14,6;18,3;21;17,9;15,5;13,7;13,3;12,1;12,8;11,7
4100301;Agudos do Sul;9;5;Taxa de distorção (em %);Fundamental anos finais;2;23,7;23;24,4;25,5;25,2;26,3;26;28,1;28,5;26,7
4100301;Agudos do Sul;9;5;Taxa de distorção (em %);Ensino médio;3;22,3;22,6;18,1;20,5;16,8;21,7;25,2;23,2;26,2;23,9
4100400;Almirante Tamandaré;9;1;IDEB;Fundamental anos iniciais;1;;4,3;;4,9;;5;;5,1;;5,2
