"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Abatiá","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",921,838,828,843,804,788,668,743,547,506,440
"2","Abatiá","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",767183.04,631083.36,666682.06,747861.45,732094.82,629983.73,824692.03,864916.2,854056.35,1166899.72,886453.21
"3","Abatiá","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",4487,3639,3050,3310,4109,2959,3103,3400,2487,2461,2007
"4","Abatiá","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",26,19,19,28,20,18,38,37,26,23,28
"5","Abatiá","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.82,2.27,2.29,3.32,2.49,2.28,5.69,4.98,4.75,4.55,6.36
"6","Adrianópolis","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",377,330,344,353,287,314,342,402,384,448,371
"7","Adrianópolis","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",561222.35,574984.44,558886.84,694316.16,430927.2,580933.27,670304.84,842702.91,735680.1,1150325.78,941012.09
"8","Adrianópolis","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",1731,1265,1496,1698,1344,1649,1587,1887,1481,1408,1504
"9","Adrianópolis","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",13,15,9,18,13,12,8,8,16,11,20
"10","Adrianópolis","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",3.45,4.55,2.62,5.1,4.53,3.82,2.34,1.99,4.17,2.46,5.39
"11","Agudos do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",533,493,515,582,513,676,890,924,1026,895,655
"12","Agudos do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",836470.92,733777.42,870578.14,1003954.45,887441.75,1170629.14,1822232.38,2298302.97,2278580.72,1838376.36,1387891.91
"13","Agudos do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",2621,2637,2049,2004,2118,2851,3307,3909,4265,3783,2779
"14","Agudos do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",26,17,16,20,17,24,20,24,40,29,26
