"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Abatiá","Cobertura Vacinal - BCG (Tuberculose) (%)",96.39,126.51,118.07,97.06,101.04,98.98,108.51,120.21,86.27,101.72,74.14
"2","Abatiá","Cobertura Vacinal - Hepatite A (HA) (%)",NA,NA,NA,NA,37.5,173.47,88.3,82.98,107.84,79.31,96.55
"3","Abatiá","Cobertura Vacinal - Hepatite B (HB) (%)",86.75,114.46,131.33,95.1,98.96,107.14,124.47,110.64,97.06,56.9,75
"4","Abatiá","Cobertura Vacinal - Hepatite B em menores de 1 mês (HB < 1m) (%)",NA,NA,NA,NA,NA,30.61,NA,56.38,78.43,87.07,49.14
"5","Abatiá","Cobertura Vacinal - Poliomielite (VOP) (%)",93.98,130.12,122.89,104.9,101.04,113.27,98.94,109.57,97.06,78.45,92.24
"6","Abatiá","Cobertura Vacinal - Febre Amarela (FA) (%)",91.57,112.05,125.3,87.25,100,110.2,112.77,91.49,112.75,65.52,95.69
"7","Abatiá","Cobertura Vacinal - Rotavírus Humano (VORH) (%)",103.61,124.1,122.89,92.16,97.92,104.08,95.74,121.28,83.33,100.86,81.9
"8","Abatiá","Cobertura Vacinal - Meningocócica Conjugada (Men C) (%)",1.2,156.63,134.94,94.12,105.21,111.22,92.55,118.09,86.27,96.55,81.9
"9","Abatiá","Cobertura Vacinal - Pneumocócica 10V (Pncc10V) (%)",61.45,133.73,124.1,95.1,100,110.2,96.81,121.28,83.33,96.55,81.9
"10","Abatiá","Cobertura Vacinal - Tríplice Viral (SCR) (%)",92.77,100,126.51,105.88,96.88,88.78,105.32,95.74,107.84,78.45,106.03
"11","Abatiá","Cobertura Vacinal - Tetra Viral (SCR+VZ) (%)",NA,NA,NA,50.98,104.17,66.33,113.83,62.77,88.24,78.45,50.86
"12","Abatiá","Cobertura Vacinal - Tríplice (DTP), Tetra (DTP+Hib), Tetra / Penta Bacteriana (DTP+Hib+HB) (%)",93.98,130.12,122.89,95.1,98.96,107.14,98.94,NA,NA,NA,NA
"13","Abatiá","Cobertura Vacinal - Penta Bacteriana (Pentavalente) (DTP+Hib+HB) (PENTA) (%)",NA,NA,44.58,95.1,98.96,107.14,98.94,110.64,97.06,56.9,75
"14","Abatiá","Cobertura Vacinal - Sarampo (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Abatiá","Cobertura Vacinal - Dupla Adulto (dT) e Tríplice Acelular Gestante (dTpa) (%)",NA,NA,NA,76.47,77.08,25.51,23.4,39.36,40.43,40.43,27.66
"16","Abatiá","Cobertura Vacinal - Tríplice Acelular Gestante (dTpa) (%)",NA,NA,NA,NA,17.71,34.69,9.57,51.06,89.36,101.06,80.85
"17","Adrianópolis","Cobertura Vacinal - BCG (Tuberculose) (%)",109.57,114.89,81.91,133.8,104.05,108.22,30.43,142.03,112.86,71.43,76.53
"18","Adrianópolis","Cobertura Vacinal - Hepatite A (HA) (%)",NA,NA,NA,NA,17.57,91.78,36.23,78.26,98.57,90.82,77.55
"19","Adrianópolis","Cobertura Vacinal - Hepatite B (HB) (%)",127.66,125.53,96.81,107.04,106.76,126.03,47.83,127.54,127.14,60.2,79.59
"20","Adrianópolis","Cobertura Vacinal - Hepatite B em menores de 1 mês (HB < 1m) (%)",NA,NA,NA,NA,NA,1.37,NA,15.94,48.57,69.39,68.37
"21","Adrianópolis","Cobertura Vacinal - Poliomielite (VOP) (%)",127.66,146.81,60.64,104.23,106.76,120.55,40.58,131.88,124.29,60.2,81.63
"22","Adrianópolis","Cobertura Vacinal - Febre Amarela (FA) (%)",107.45,134.04,62.77,91.55,104.05,119.18,37.68,113.04,135.71,63.27,83.67
