"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Abatiá","Leitos Hospitalares - Existente - Total",22,22,22,22,22,22,22,22,22,22,22
"2","Abatiá","Leitos Hospitalares - Existente - Cirúrgicos",1,1,1,1,1,1,1,1,1,1,1
"3","Abatiá","Leitos Hospitalares - Existente - Clínicos",15,15,18,18,18,18,18,18,18,18,18
"4","Abatiá","Leitos Hospitalares - Existente - Obstétricos",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Abatiá","Leitos Hospitalares - Existente - Pediátricos",3,3,3,3,3,3,3,3,3,3,3
"6","Abatiá","Leitos Hospitalares - Existente - Outras Especialidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Abatiá","Leitos Hospitalares - Existente - Hospital / Dia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Abatiá","Leitos Hospitalares - SUS - Total",20,21,21,21,21,21,21,21,21,21,21
"9","Abatiá","Leitos Hospitalares - SUS - Cirúrgicos",1,1,1,1,1,1,1,1,1,1,1
"10","Abatiá","Leitos Hospitalares - SUS - Clínicos",13,14,17,17,17,17,17,17,17,17,17
"11","Abatiá","Leitos Hospitalares - SUS - Obstétricos",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Abatiá","Leitos Hospitalares - SUS - Pediátricos",3,3,3,3,3,3,3,3,3,3,3
"13","Abatiá","Leitos Hospitalares - SUS - Outras Especialidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Abatiá","Leitos Hospitalares - SUS - Hospital / Dia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Adrianópolis","Leitos Hospitalares - Existente - Total",NA,NA,NA,NA,NA,NA,3,3,3,3,3
"16","Adrianópolis","Leitos Hospitalares - Existente - Cirúrgicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Adrianópolis","Leitos Hospitalares - Existente - Clínicos",NA,NA,NA,NA,NA,NA,3,3,3,3,3
"18","Adrianópolis","Leitos Hospitalares - Existente - Obstétricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Adrianópolis","Leitos Hospitalares - Existente - Pediátricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Adrianópolis","Leitos Hospitalares - Existente - Outras Especialidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Adrianópolis","Leitos Hospitalares - Existente - Hospital / Dia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Adrianópolis","Leitos Hospitalares - SUS - Total",NA,NA,NA,NA,NA,NA,3,3,3,3,3
"23","Adrianópolis","Leitos Hospitalares - SUS - Cirúrgicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Adrianópolis","Leitos Hospitalares - SUS - Clínicos",NA,NA,NA,NA,NA,NA,3,3,3,3,3
"25","Adrianópolis","Leitos Hospitalares - SUS - Obstétricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Adrianópolis","Leitos Hospitalares - SUS - Pediátricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Adrianópolis","Leitos Hospitalares - SUS - Outras Especialidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Adrianópolis","Leitos Hospitalares - SUS - Hospital / Dia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Agudos do Sul","Leitos Hospitalares - Existente - Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Agudos do Sul","Leitos Hospitalares - Existente - Cirúrgicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Agudos do Sul","Leitos Hospitalares - Existente - Clínicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Agudos do Sul","Leitos Hospitalares - Existente - Obstétricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Agudos do Sul","Leitos Hospitalares - Existente - Pediátricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Agudos do Sul","Leitos Hospitalares - Existente - Outras Especialidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Agudos do Sul","Leitos Hospitalares - Existente - Hospital / Dia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Agudos do Sul","Leitos Hospitalares - SUS - Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Agudos do Sul","Leitos Hospitalares - SUS - Cirúrgicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Agudos do Sul","Leitos Hospitalares - SUS - Clínicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Agudos do Sul","Leitos Hospitalares - SUS - Obstétricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Agudos do Sul","Leitos Hospitalares - SUS - Pediátricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Agudos do Sul","Leitos Hospitalares - SUS - Outras Especialidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Agudos do Sul","Leitos Hospitalares - SUS - Hospital / Dia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Almirante Tamandaré","Leitos Hospitalares - Existente - Total",45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Almirante Tamandaré","Leitos Hospitalares - Existente - Cirúrgicos",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Almirante Tamandaré","Leitos Hospitalares - Existente - Clínicos",30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Almirante Tamandaré","Leitos Hospitalares - Existente - Obstétricos",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Almirante Tamandaré","Leitos Hospitalares - Existente - Pediátricos",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Almirante Tamandaré","Leitos Hospitalares - Existente - Outras Especialidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Almirante Tamandaré","Leitos Hospitalares - Existente - Hospital / Dia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Almirante Tamandaré","Leitos Hospitalares - SUS - Total",35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Almirante Tamandaré","Leitos Hospitalares - SUS - Cirúrgicos",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Almirante Tamandaré","Leitos Hospitalares - SUS - Clínicos",20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Almirante Tamandaré","Leitos Hospitalares - SUS - Obstétricos",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Almirante Tamandaré","Leitos Hospitalares - SUS - Pediátricos",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Almirante Tamandaré","Leitos Hospitalares - SUS - Outras Especialidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Almirante Tamandaré","Leitos Hospitalares - SUS - Hospital / Dia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Altamira do Paraná","Leitos Hospitalares - Existente - Total",19,19,19,19,19,19,19,19,19,19,19
"58","Altamira do Paraná","Leitos Hospitalares - Existente - Cirúrgicos",4,4,4,4,4,4,4,4,4,4,4
"59","Altamira do Paraná","Leitos Hospitalares - Existente - Clínicos",8,8,8,8,8,8,8,8,8,8,8
"60","Altamira do Paraná","Leitos Hospitalares - Existente - Obstétricos",4,4,4,4,4,4,4,4,4,4,4
"61","Altamira do Paraná","Leitos Hospitalares - Existente - Pediátricos",3,3,3,3,3,3,3,3,3,3,3
"62","Altamira do Paraná","Leitos Hospitalares - Existente - Outras Especialidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Altamira do Paraná","Leitos Hospitalares - Existente - Hospital / Dia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Altamira do Paraná","Leitos Hospitalares - SUS - Total",19,19,19,19,19,19,19,19,19,19,19
"65","Altamira do Paraná","Leitos Hospitalares - SUS - Cirúrgicos",4,4,4,4,4,4,4,4,4,4,4
"66","Altamira do Paraná","Leitos Hospitalares - SUS - Clínicos",8,8,8,8,8,8,8,8,8,8,8
"67","Altamira do Paraná","Leitos Hospitalares - SUS - Obstétricos",4,4,4,4,4,4,4,4,4,4,4
"68","Altamira do Paraná","Leitos Hospitalares - SUS - Pediátricos",3,3,3,3,3,3,3,3,3,3,3
"69","Altamira do Paraná","Leitos Hospitalares - SUS - Outras Especialidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Altamira do Paraná","Leitos Hospitalares - SUS - Hospital / Dia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Alto Paraíso","Leitos Hospitalares - Existente - Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Alto Paraíso","Leitos Hospitalares - Existente - Cirúrgicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Alto Paraíso","Leitos Hospitalares - Existente - Clínicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Alto Paraíso","Leitos Hospitalares - Existente - Obstétricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Alto Paraíso","Leitos Hospitalares - Existente - Pediátricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Alto Paraíso","Leitos Hospitalares - Existente - Outras Especialidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Alto Paraíso","Leitos Hospitalares - Existente - Hospital / Dia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Alto Paraíso","Leitos Hospitalares - SUS - Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Alto Paraíso","Leitos Hospitalares - SUS - Cirúrgicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Alto Paraíso","Leitos Hospitalares - SUS - Clínicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Alto Paraíso","Leitos Hospitalares - SUS - Obstétricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Alto Paraíso","Leitos Hospitalares - SUS - Pediátricos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
