"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Abatiá","Nascidos Vivos - Total",80,102,96,98,94,101,102,116,98,118,89
"2","Abatiá","Óbitos (CID10) - Total (Mortalidade Geral)",71,67,64,63,57,74,72,80,54,62,74
"3","Abatiá","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",1,1,4,NA,1,1,3,4,NA,1,7
"4","Abatiá","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",11,13,7,6,6,9,10,13,3,7,12
"5","Abatiá","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Abatiá","Óbitos (CID10) - Cap IV - Doenças Endócrinas, Nutricionais e Metabólicas",6,4,7,4,5,1,1,3,4,5,4
"7","Abatiá","Óbitos (CID10) - Cap V - Transtornos Mentais e Comportamentais",NA,NA,3,NA,NA,1,1,3,1,1,1
"8","Abatiá","Óbitos (CID10) - Cap VI - Doenças do Sistema Nervoso",NA,1,1,1,1,2,NA,4,2,3,3
"9","Abatiá","Óbitos (CID10) - Cap IX - Doenças do Aparelho Circulatório",32,29,12,24,24,32,17,21,15,20,24
"10","Abatiá","Óbitos (CID10) - Cap X - Doenças do Aparelho Respiratório",5,5,4,11,5,10,9,9,8,9,9
"11","Abatiá","Óbitos (CID10) - Cap XI - Doenças do Aparelho Digestivo",2,1,3,3,6,2,7,4,2,5,6
"12","Abatiá","Óbitos (CID10) - Cap XII - Doenças da Pele e do Tecido Celular Subcutâneo",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"13","Abatiá","Óbitos (CID10) - Cap XIII - Doenças do Sistema Osteomuscular e do Tecido Conjuntivo",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"14","Abatiá","Óbitos (CID10) - Cap XIV - Doenças do Aparelho Geniturinário",1,1,NA,1,1,3,2,1,1,2,3
"15","Abatiá","Óbitos (CID10) - Cap XV - Gravidez, Parto e Puerpério",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"16","Abatiá","Óbitos (CID10) - Cap XVI - Algumas Afecções Originadas no Período Perinatal",NA,1,1,NA,NA,1,1,1,1,3,NA
"17","Abatiá","Óbitos (CID10) - Cap XVII - Mal Formação Congênita, Deformidades, Anomalias Cromossômicas",NA,1,2,1,NA,NA,NA,1,NA,1,NA
"18","Adrianópolis","Nascidos Vivos - Total",71,71,74,73,69,80,70,98,71,64,80
"19","Adrianópolis","Óbitos (CID10) - Total (Mortalidade Geral)",50,47,28,67,52,58,55,49,39,48,70
"20","Adrianópolis","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",2,3,NA,2,1,NA,1,1,3,3,10
"21","Adrianópolis","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",9,6,6,13,9,12,10,10,10,7,13
"22","Adrianópolis","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",NA,2,NA,NA,NA,1,NA,NA,NA,1,NA
"23","Adrianópolis","Óbitos (CID10) - Cap IV - Doenças Endócrinas, Nutricionais e Metabólicas",3,NA,2,5,4,5,10,6,NA,3,1
"24","Adrianópolis","Óbitos (CID10) - Cap V - Transtornos Mentais e Comportamentais",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1
"25","Adrianópolis","Óbitos (CID10) - Cap VI - Doenças do Sistema Nervoso",1,NA,1,NA,1,2,1,3,1,3,1
"26","Adrianópolis","Óbitos (CID10) - Cap IX - Doenças do Aparelho Circulatório",7,11,12,22,19,21,19,11,8,16,24
"27","Adrianópolis","Óbitos (CID10) - Cap X - Doenças do Aparelho Respiratório",6,3,1,9,3,5,7,11,8,6,7
"28","Adrianópolis","Óbitos (CID10) - Cap XI - Doenças do Aparelho Digestivo",4,7,1,5,3,1,2,1,3,NA,4
"29","Adrianópolis","Óbitos (CID10) - Cap XII - Doenças da Pele e do Tecido Celular Subcutâneo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Adrianópolis","Óbitos (CID10) - Cap XIII - Doenças do Sistema Osteomuscular e do Tecido Conjuntivo",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"31","Adrianópolis","Óbitos (CID10) - Cap XIV - Doenças do Aparelho Geniturinário",1,1,NA,NA,2,1,NA,NA,NA,1,3
"32","Adrianópolis","Óbitos (CID10) - Cap XV - Gravidez, Parto e Puerpério",NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"33","Adrianópolis","Óbitos (CID10) - Cap XVI - Algumas Afecções Originadas no Período Perinatal",NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA
"34","Adrianópolis","Óbitos (CID10) - Cap XVII - Mal Formação Congênita, Deformidades, Anomalias Cromossômicas",NA,NA,NA,NA,NA,NA,1,1,NA,1,NA
"35","Agudos do Sul","Nascidos Vivos - Total",110,103,110,114,113,109,113,113,151,113,134
"36","Agudos do Sul","Óbitos (CID10) - Total (Mortalidade Geral)",46,63,51,55,51,49,61,69,78,71,72
"37","Agudos do Sul","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",NA,NA,1,NA,2,2,1,4,1,3,1
"38","Agudos do Sul","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",5,7,8,7,10,9,10,15,16,13,12
"39","Agudos do Sul","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",NA,1,NA,NA,NA,NA,NA,NA,1,1,NA
"40","Agudos do Sul","Óbitos (CID10) - Cap IV - Doenças Endócrinas, Nutricionais e Metabólicas",NA,2,2,8,2,1,6,3,2,3,6
"41","Agudos do Sul","Óbitos (CID10) - Cap V - Transtornos Mentais e Comportamentais",1,NA,NA,2,NA,NA,1,NA,1,3,1
"42","Agudos do Sul","Óbitos (CID10) - Cap VI - Doenças do Sistema Nervoso",NA,NA,NA,1,NA,2,NA,1,3,3,1
"43","Agudos do Sul","Óbitos (CID10) - Cap IX - Doenças do Aparelho Circulatório",13,11,15,15,17,16,23,19,25,24,21
"44","Agudos do Sul","Óbitos (CID10) - Cap X - Doenças do Aparelho Respiratório",8,13,9,4,4,5,11,9,6,7,9
"45","Agudos do Sul","Óbitos (CID10) - Cap XI - Doenças do Aparelho Digestivo",3,2,1,2,2,1,3,8,4,5,3
"46","Agudos do Sul","Óbitos (CID10) - Cap XII - Doenças da Pele e do Tecido Celular Subcutâneo",NA,NA,1,1,NA,NA,NA,NA,2,NA,1
"47","Agudos do Sul","Óbitos (CID10) - Cap XIII - Doenças do Sistema Osteomuscular e do Tecido Conjuntivo",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
