"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Abatiá","Profissionais de Saúde - Total",13,14,14,13,14,12,14,15,16,17,14
"2","Abatiá","Profissionais de Saúde - Médicos",5,4,4,4,5,4,5,6,5,6,2
"3","Abatiá","Profissionais de Saúde - Enfermeiros",4,6,6,6,6,5,5,5,7,7,7
"4","Abatiá","Profissionais de Saúde - Dentistas",2,2,2,2,2,2,2,2,2,2,2
"5","Abatiá","Profissionais de Saúde - Farmacêuticos",2,2,2,1,1,1,2,2,2,2,3
"6","Adrianópolis","Profissionais de Saúde - Total",13,14,13,15,13,13,14,14,14,15,18
"7","Adrianópolis","Profissionais de Saúde - Médicos",6,8,6,8,6,6,7,7,7,7,7
"8","Adrianópolis","Profissionais de Saúde - Enfermeiros",3,2,3,4,4,4,4,4,4,3,6
"9","Adrianópolis","Profissionais de Saúde - Dentistas",3,3,3,3,3,3,3,3,3,5,5
"10","Adrianópolis","Profissionais de Saúde - Farmacêuticos",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"11","Agudos do Sul","Profissionais de Saúde - Total",11,9,11,11,13,13,11,17,20,25,26
"12","Agudos do Sul","Profissionais de Saúde - Médicos",5,4,4,3,6,5,5,8,10,11,13
"13","Agudos do Sul","Profissionais de Saúde - Enfermeiros",4,4,5,6,5,6,5,7,8,9,10
"14","Agudos do Sul","Profissionais de Saúde - Dentistas",2,NA,1,1,1,1,NA,1,1,4,2
"15","Agudos do Sul","Profissionais de Saúde - Farmacêuticos",NA,1,1,1,1,1,1,1,1,1,1
"16","Almirante Tamandaré","Profissionais de Saúde - Total",97,85,68,72,73,80,93,126,148,145,175
"17","Almirante Tamandaré","Profissionais de Saúde - Médicos",51,36,30,37,39,42,43,63,80,78,100
"18","Almirante Tamandaré","Profissionais de Saúde - Enfermeiros",21,28,18,21,19,18,28,34,40,37,48
"19","Almirante Tamandaré","Profissionais de Saúde - Dentistas",15,14,14,14,15,20,22,26,25,28,24
"20","Almirante Tamandaré","Profissionais de Saúde - Farmacêuticos",10,7,6,NA,NA,NA,NA,3,3,2,3
"21","Altamira do Paraná","Profissionais de Saúde - Total",10,10,10,10,11,9,10,12,10,14,18
"22","Altamira do Paraná","Profissionais de Saúde - Médicos",2,1,2,4,4,2,3,4,3,4,6
"23","Altamira do Paraná","Profissionais de Saúde - Enfermeiros",5,6,5,5,6,6,6,6,5,7,8
