"","Localidade","Variável","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"1","Abatiá","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"928","939","907","870","708","742","725","713","710","728","848","889","921","838","828","843","804","788","668","743","547","506","440"
"2","Abatiá","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"219.084,80","255.173,31","275.707,85","278.278,28","276.787,75","327.594,89","362.749,45","336.837,23","343.523,23","347.627,03","521.272,15","605.681,04","767.183,04","631.083,36","666.682,06","747.861,45","732.094,82","629.983,73","824.692,03","864.916,20","854.056,35","1.166.899,72","886.453,21"
"3","Abatiá","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,94","1,7","2,87","3,1","1,13","2,43","3,03","1,96","3,38","1,65","2,48","2,36","2,82","2,27","2,29","3,32","2,49","2,28","5,69","4,98","4,75","4,55","6,36"
"4","Abatiá","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22"
"5","Abatiá","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","21","21","21","20","20","20","21","21","21","21","21","21","21","21","21","21"
"6","Abatiá","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1"
"7","Adrianópolis","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"281","328","261","293","302","367","313","335","385","378","371","436","377","330","344","353","287","314","342","402","384","448","371"
"8","Adrianópolis","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"127.666,77","213.361,23","231.053,56","250.378,22","228.467,06","361.014,51","276.100,09","370.384,35","373.254,30","363.878,88","368.630,78","425.282,08","561.222,35","574.984,44","558.886,84","694.316,16","430.927,20","580.933,27","670.304,84","842.702,91","735.680,10","1.150.325,78","941.012,09"
"9","Adrianópolis","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"4,27","2,74","5,75","5,46","3,64","2,72","3,19","3,28","4,16","2,65","2,7","3,9","3,45","4,55","2,62","5,1","4,53","3,82","2,34","1,99","4,17","2,46","5,39"
"10","Adrianópolis","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3"
"11","Adrianópolis","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3"
"12","Adrianópolis","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Agudos do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"630","516","413","346","361","315","418","332","350","383","368","451","533","493","515","582","513","676","890","924","1.026","895","655"
