"","Código","Unidade Territorial","UF","Referência","total de pessoas elegíveis ao recebimento do auxílio emergencial","Soma do total a ser repassado pelo Auxílio emergencial e pela extensão do auxílio (todos os públicos)","...7","...8","...9","...10","...11","...12","...13"
"1",410010,"ABATIÁ","PR",2020,2464,10547145,738,31047000,1223,49953000,1,30000,2444145
"2",410020,"ADRIANÓPOLIS","PR",2020,2309,9873277,579,24330000,1159,47739000,1,30000,2663377
"3",410030,"AGUDOS DO SUL","PR",2020,3497,14628071,578,24033000,1883,74805000,0,0,4744271
"4",410040,"ALMIRANTE TAMANDARÉ","PR",2020,35550,152293603,6124,266106000,24553,1009929000,22,810000,24609103
"5",410045,"ALTAMIRA DO PARANÁ","PR",2020,1437,5869717,446,17877000,618,24987000,0,0,1583317
"6",410050,"ALTÔNIA","PR",2020,5805,23725730,1185,48264000,3799,151608000,3,90000,3729530
"7",410060,"ALTO PARANÁ","PR",2020,4670,19782713,1034,44073000,2679,105867000,1,60000,4782713
"8",410070,"ALTO PIQUIRI","PR",2020,3217,13386110,874,36447000,1541,60831000,2,90000,3649310
"9",410080,"ALVORADA DO SUL","PR",2020,2781,11525029,685,28221000,1442,57108000,1,30000,2989129
"10",410090,"AMAPORÃ","PR",2020,1796,7970903,438,18417000,773,30645000,1,30000,3061703
"11",410100,"AMPÉRE","PR",2020,4764,20247181,1091,48273000,3247,133548000,8,228000,2042281
"12",410105,"ANAHY","PR",2020,747,3030691,212,8208000,414,16428000,0,0,567091
"13",410110,"ANDIRÁ","PR",2020,6125,25758896,1476,60753000,3347,132228000,0,0,6460796
"14",410115,"ÂNGULO","PR",2020,1065,4361505,312,12558000,539,21543000,0,0,951405
"15",410120,"ANTONINA","PR",2020,6885,29654588,1043,45186000,4069,165648000,4,120000,8559188
"16",410130,"ANTÔNIO OLINTO","PR",2020,2787,11636986,487,19674000,1388,56181000,2,90000,4042486
"17",410140,"APUCARANA","PR",2020,37134,157122740,8020,356712000,25660,1033236000,25,924000,18035540
"18",410150,"ARAPONGAS","PR",2020,30193,123811168,8050,332673000,19363,762819000,17,564000,14205568
"19",410160,"ARAPOTI","PR",2020,7461,33053346,1297,54120000,4646,194466000,4,150000,8179746
"20",410165,"ARAPUÃ","PR",2020,1264,5206595,270,10881000,439,17337000,0,0,2384795
"21",410170,"ARARUNA","PR",2020,4515,18668900,1683,70614000,2229,87588000,6,210000,2827700
"22",410180,"ARAUCÁRIA","PR",2020,43430,186727638,8011,353235000,29246,1212420000,37,1380000,30024138
"23",410185,"ARIRANHA DO IVAÍ","PR",2020,767,3071736,287,11889000,287,11121000,1,30000,767736
"24",410190,"ASSAÍ","PR",2020,4873,20635820,1193,50670000,2824,112374000,1,30000,4328420
"25",410200,"ASSIS CHATEAUBRIAND","PR",2020,9545,39141709,2566,105681000,5877,233829000,7,240000,5166709
"26",410210,"ASTORGA","PR",2020,7456,30456126,1495,61407000,4972,197901000,11,348000,4490526
"27",410220,"ATALAIA","PR",2020,1226,4972075,301,12081000,784,31275000,0,0,636475
"28",410230,"BALSA NOVA","PR",2020,3900,16621444,672,28038000,2419,98637000,3,120000,3941944
"29",410240,"BANDEIRANTES","PR",2020,10574,44436947,3052,128718000,6087,240042000,12,390000,7521947
"30",410250,"BARBOSA FERRAZ","PR",2020,3792,15968883,1105,44814000,1445,57552000,1,30000,5729283
"31",410260,"BARRACÃO","PR",2020,3131,13347415,735,30339000,1687,69684000,2,120000,3333115
"32",410270,"BARRA DO JACARÉ","PR",2020,782,3094801,226,8592000,353,13695000,2,60000,860101
"33",410275,"BELA VISTA DA CAROBA","PR",2020,991,3934118,242,9642000,393,15663000,0,0,1403618
"34",410280,"BELA VISTA DO PARAÍSO","PR",2020,4756,19800791,1163,48729000,2648,106332000,2,90000,4285691
"35",410290,"BITURUNA","PR",2020,5536,23009819,1845,75306000,2212,88443000,1,30000,6631919
"36",410300,"BOA ESPERANÇA","PR",2020,1411,5670990,342,13482000,703,28347000,1,30000,1485090
"37",410302,"BOA ESPERANÇA DO IGUAÇU","PR",2020,752,3097574,129,5607000,474,19257000,0,0,611174
"38",410304,"BOA VENTURA DE SÃO ROQUE","PR",2020,2249,9739210,489,20466000,910,37401000,0,0,3952510
"39",410305,"BOA VISTA DA APARECIDA","PR",2020,2608,11131482,553,22497000,1177,47526000,5,150000,4114182
"40",410310,"BOCAIÚVA DO SUL","PR",2020,4438,19182793,1316,56901000,2031,81447000,2,60000,5341993
"41",410315,"BOM JESUS DO SUL","PR",2020,1142,4820785,251,10401000,656,27612000,5,150000,1004485
"42",410320,"BOM SUCESSO","PR",2020,1986,8143477,686,27534000,974,39060000,0,0,1484077
"43",410322,"BOM SUCESSO DO SUL","PR",2020,794,3191880,226,9030000,390,15321000,0,0,756780
"44",410330,"BORRAZÓPOLIS","PR",2020,2534,10660733,799,32580000,1134,45447000,1,30000,2855033
"45",410335,"BRAGANEY","PR",2020,1642,6642088,411,16200000,786,31029000,1,30000,1916188
"46",410337,"BRASILÂNDIA DO SUL","PR",2020,1204,4870757,399,16272000,540,2.1e+07,1,30000,1140557
"47",410340,"CAFEARA","PR",2020,846,3352479,290,11622000,356,14265000,0,0,763779
"48",410345,"CAFELÂNDIA","PR",2020,4073,16405133,1065,41847000,2511,99153000,1,30000,2302133
"49",410347,"CAFEZAL DO SUL","PR",2020,1354,5427889,386,15498000,748,29445000,1,30000,930589
"50",410350,"CALIFÓRNIA","PR",2020,2633,11222803,647,27186000,1449,58677000,1,30000,2633503
"51",410360,"CAMBARÁ","PR",2020,6841,29823665,1561,65889000,3132,122568000,2,60000,10971965
"52",410370,"CAMBÉ","PR",2020,28740,118278422,6418,270756000,18326,719871000,18,750000,19140722
"53",410380,"CAMBIRA","PR",2020,2616,10939194,830,34998000,1349,54396000,7,240000,1975794
