"","Código","Unidade Territorial","UF","Referência","Total de pessoas inscritas no Cadastro Único"
"1",410010,"ABATIÁ","PR","10/2014",5353
"2",410010,"ABATIÁ","PR","01/2019",3383
"3",410010,"ABATIÁ","PR","08/2018",3401
"4",410010,"ABATIÁ","PR","10/2012",5203
"5",410010,"ABATIÁ","PR","11/2016",4304
"6",410010,"ABATIÁ","PR","05/2016",4219
"7",410010,"ABATIÁ","PR","12/2019",3434
"8",410010,"ABATIÁ","PR","08/2015",4455
"9",410010,"ABATIÁ","PR","08/2017",4143
"10",410010,"ABATIÁ","PR","07/2014",5322
"11",410010,"ABATIÁ","PR","10/2017",3647
"12",410010,"ABATIÁ","PR","06/2021",3598
"13",410010,"ABATIÁ","PR","05/2019",3473
"14",410010,"ABATIÁ","PR","04/2016",4206
"15",410010,"ABATIÁ","PR","01/2014",5289
"16",410010,"ABATIÁ","PR","05/2013",5201
"17",410010,"ABATIÁ","PR","01/2017",4055
"18",410010,"ABATIÁ","PR","08/2012",5157
"19",410010,"ABATIÁ","PR","10/2013",5281
"20",410010,"ABATIÁ","PR","11/2015",4495
"21",410010,"ABATIÁ","PR","04/2013",5210
"22",410010,"ABATIÁ","PR","12/2013",5288
"23",410010,"ABATIÁ","PR","11/2018",3470
"24",410010,"ABATIÁ","PR","04/2019",3443
"25",410010,"ABATIÁ","PR","06/2018",3664
"26",410010,"ABATIÁ","PR","09/2012",5188
"27",410010,"ABATIÁ","PR","06/2013",5184
"28",410010,"ABATIÁ","PR","12/2015",4532
"29",410010,"ABATIÁ","PR","06/2020",3393
"30",410010,"ABATIÁ","PR","06/2016",4238
"31",410010,"ABATIÁ","PR","09/2014",5334
"32",410010,"ABATIÁ","PR","03/2021",3544
"33",410010,"ABATIÁ","PR","08/2014",5330
"34",410010,"ABATIÁ","PR","07/2021",3611
"35",410010,"ABATIÁ","PR","03/2013",5206
"36",410010,"ABATIÁ","PR","03/2019",3441
"37",410010,"ABATIÁ","PR","02/2018",3850
"38",410010,"ABATIÁ","PR","05/2015",4826
"39",410010,"ABATIÁ","PR","12/2016",4056
"40",410010,"ABATIÁ","PR","10/2020",3484
"41",410010,"ABATIÁ","PR","02/2021",3524
"42",410010,"ABATIÁ","PR","11/2020",3423
"43",410010,"ABATIÁ","PR","05/2017",4100
"44",410010,"ABATIÁ","PR","09/2018",3420
"45",410010,"ABATIÁ","PR","11/2013",5275
"46",410010,"ABATIÁ","PR","02/2017",4068
"47",410010,"ABATIÁ","PR","09/2019",3318
"48",410010,"ABATIÁ","PR","12/2012",5208
"49",410010,"ABATIÁ","PR","07/2018",3677
"50",410010,"ABATIÁ","PR","07/2019",3532
"51",410010,"ABATIÁ","PR","03/2015",4761
"52",410010,"ABATIÁ","PR","10/2015",4486
"53",410010,"ABATIÁ","PR","09/2013",5250
"54",410010,"ABATIÁ","PR","03/2018",3596
"55",410010,"ABATIÁ","PR","10/2016",4295
"56",410010,"ABATIÁ","PR","10/2018",3457
"57",410010,"ABATIÁ","PR","04/2020",3391
"58",410010,"ABATIÁ","PR","06/2015",4840
"59",410010,"ABATIÁ","PR","02/2019",3410
"60",410010,"ABATIÁ","PR","07/2015",4454
"61",410010,"ABATIÁ","PR","12/2017",3805
"62",410010,"ABATIÁ","PR","11/2019",3397
"63",410010,"ABATIÁ","PR","11/2017",3707
"64",410010,"ABATIÁ","PR","09/2015",4492
"65",410010,"ABATIÁ","PR","04/2014",5291
"66",410010,"ABATIÁ","PR","12/2020",3454
"67",410010,"ABATIÁ","PR","09/2017",3606
"68",410010,"ABATIÁ","PR","08/2020",3438
"69",410010,"ABATIÁ","PR","07/2016",4215
"70",410010,"ABATIÁ","PR","12/2014",5403
"71",410010,"ABATIÁ","PR","02/2014",5291
"72",410010,"ABATIÁ","PR","04/2015",4807
"73",410010,"ABATIÁ","PR","04/2018",3607
"74",410010,"ABATIÁ","PR","01/2021",3476
"75",410010,"ABATIÁ","PR","02/2020",3314
"76",410010,"ABATIÁ","PR","06/2017",4109
"77",410010,"ABATIÁ","PR","06/2019",3502
"78",410010,"ABATIÁ","PR","02/2015",4731
"79",410010,"ABATIÁ","PR","08/2019",3550
"80",410010,"ABATIÁ","PR","05/2020",3393
"81",410010,"ABATIÁ","PR","03/2020",3349
"82",410010,"ABATIÁ","PR","05/2018",3626
"83",410010,"ABATIÁ","PR","05/2014",5319
"84",410010,"ABATIÁ","PR","12/2018",3367
"85",410010,"ABATIÁ","PR","09/2016",4271
"86",410010,"ABATIÁ","PR","01/2015",4726
"87",410010,"ABATIÁ","PR","07/2020",3419
