"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Abatiá","Índice Ipardes de Desempenho Municipal (IPDM)",0.5641,0.5454,0.5168,0.5385,0.5649,0.6326,0.6323,0.6348,0.6198
"2","Adrianópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.447,0.5177,0.5422,0.624,0.6134,0.5803,0.597,0.6884,0.6952
"3","Agudos do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.4122,0.3904,0.3828,0.4684,0.5418,0.5576,0.5559,0.6134,0.5939
"4","Almirante Tamandaré","Índice Ipardes de Desempenho Municipal (IPDM)",0.4656,0.5009,0.5055,0.5276,0.5312,0.5363,0.5494,0.5906,0.5929
"5","Altamira do Paraná","Índice Ipardes de Desempenho Municipal (IPDM)",0.5275,0.5833,0.5689,0.5907,0.5747,0.63,0.6385,0.6721,0.6911
"6","Alto Paraíso","Índice Ipardes de Desempenho Municipal (IPDM)",0.5167,0.6209,0.6048,0.6376,0.5976,0.591,0.6541,0.6761,0.7153
"7","Alto Paraná","Índice Ipardes de Desempenho Municipal (IPDM)",0.6154,0.6263,0.6153,0.6167,0.6176,0.6217,0.6434,0.6611,0.671
"8","Alto Piquiri","Índice Ipardes de Desempenho Municipal (IPDM)",0.6145,0.5943,0.5308,0.5257,0.5445,0.5827,0.6028,0.6521,0.6904
"9","Altônia","Índice Ipardes de Desempenho Municipal (IPDM)",0.6852,0.6599,0.6476,0.6722,0.6501,0.6356,0.6177,0.6616,0.6831
"10","Alvorada do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.5963,0.6024,0.6366,0.6169,0.6314,0.6127,0.6501,0.6873,0.7051
"11","Amaporã","Índice Ipardes de Desempenho Municipal (IPDM)",0.5593,0.5654,0.5318,0.4945,0.5053,0.5385,0.5547,0.6192,0.6251
"12","Ampére","Índice Ipardes de Desempenho Municipal (IPDM)",0.6143,0.6704,0.6651,0.7134,0.7049,0.6723,0.6544,0.6777,0.7305
"13","Anahy","Índice Ipardes de Desempenho Municipal (IPDM)",0.6302,0.6025,0.5484,0.6212,0.6697,0.6908,0.664,0.721,0.7395
"14","Andirá","Índice Ipardes de Desempenho Municipal (IPDM)",0.6566,0.6697,0.6691,0.6626,0.6665,0.6974,0.6818,0.6894,0.6914
"15","Ângulo","Índice Ipardes de Desempenho Municipal (IPDM)",0.6421,0.6095,0.611,0.5935,0.6406,0.6666,0.6873,0.7159,0.734
"16","Antonina","Índice Ipardes de Desempenho Municipal (IPDM)",0.474,0.4545,0.4187,0.4083,0.4621,0.4976,0.4786,0.4834,0.4877
"17","Antônio Olinto","Índice Ipardes de Desempenho Municipal (IPDM)",0.5689,0.5962,0.5671,0.6337,0.6458,0.646,0.6271,0.6391,0.6836
"18","Apucarana","Índice Ipardes de Desempenho Municipal (IPDM)",0.7172,0.729,0.7418,0.7435,0.7469,0.7405,0.7484,0.7546,0.7594
"19","Arapongas","Índice Ipardes de Desempenho Municipal (IPDM)",0.7004,0.7204,0.7183,0.7267,0.7219,0.7176,0.7083,0.7339,0.7478
"20","Arapoti","Índice Ipardes de Desempenho Municipal (IPDM)",0.5804,0.6177,0.602,0.6214,0.6586,0.6846,0.6956,0.7075,0.7171
"21","Arapuã","Índice Ipardes de Desempenho Municipal (IPDM)",0.5289,0.5401,0.5181,0.6104,0.619,0.6852,0.6052,0.6362,0.6445
"22","Araruna","Índice Ipardes de Desempenho Municipal (IPDM)",0.5823,0.6395,0.6442,0.6511,0.6445,0.6623,0.6795,0.73,0.7466
"23","Araucária","Índice Ipardes de Desempenho Municipal (IPDM)",0.6923,0.7121,0.6947,0.7234,0.7345,0.7556,0.7564,0.7722,0.7721
"24","Ariranha do Ivaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.5099,0.6236,0.6311,0.6778,0.6037,0.5485,0.5897,0.6896,0.6094
"25","Assaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.6037,0.6448,0.6106,0.676,0.6858,0.6567,0.6564,0.6937,0.7159
"26","Assis Chateaubriand","Índice Ipardes de Desempenho Municipal (IPDM)",0.6394,0.6438,0.6478,0.688,0.688,0.7017,0.6993,0.7239,0.7321
"27","Astorga","Índice Ipardes de Desempenho Municipal (IPDM)",0.6842,0.6939,0.6904,0.7259,0.7478,0.7438,0.7386,0.7481,0.7379
"28","Atalaia","Índice Ipardes de Desempenho Municipal (IPDM)",0.7168,0.7521,0.7686,0.7847,0.7818,0.7022,0.7143,0.7435,0.7958
"29","Balsa Nova","Índice Ipardes de Desempenho Municipal (IPDM)",0.6301,0.6297,0.5891,0.6581,0.6967,0.7268,0.7217,0.768,0.7673
