"","Código","Unidade Territorial","UF","Referência","Quantidade total de pessoas em famílias beneficiárias do Programa Bolsa Família"
"1",410010,"ABATIÁ","PR","03/2021",1314
"2",410010,"ABATIÁ","PR","07/2021",1306
"3",410010,"ABATIÁ","PR","11/2018",1173
"4",410010,"ABATIÁ","PR","10/2020",1214
"5",410010,"ABATIÁ","PR","07/2019",1080
"6",410010,"ABATIÁ","PR","01/2021",1279
"7",410010,"ABATIÁ","PR","04/2020",1219
"8",410010,"ABATIÁ","PR","03/2020",1208
"9",410010,"ABATIÁ","PR","02/2021",1297
"10",410010,"ABATIÁ","PR","06/2020",1213
"11",410010,"ABATIÁ","PR","05/2021",1307
"12",410010,"ABATIÁ","PR","05/2020",1219
"13",410010,"ABATIÁ","PR","04/2019",1162
"14",410010,"ABATIÁ","PR","08/2018",1094
"15",410010,"ABATIÁ","PR","11/2019",999
"16",410010,"ABATIÁ","PR","06/2021",1313
"17",410010,"ABATIÁ","PR","08/2020",1209
"18",410010,"ABATIÁ","PR","08/2019",1035
"19",410010,"ABATIÁ","PR","09/2018",1103
"20",410010,"ABATIÁ","PR","12/2019",978
"21",410010,"ABATIÁ","PR","01/2020",987
"22",410010,"ABATIÁ","PR","09/2019",1031
"23",410010,"ABATIÁ","PR","10/2018",1156
"24",410010,"ABATIÁ","PR","07/2018",1143
"25",410010,"ABATIÁ","PR","01/2019",1118
"26",410010,"ABATIÁ","PR","01/2018",1257
"27",410010,"ABATIÁ","PR","10/2019",1003
"28",410010,"ABATIÁ","PR","03/2019",1139
"29",410010,"ABATIÁ","PR","05/2019",1110
"30",410010,"ABATIÁ","PR","12/2018",1105
"31",410010,"ABATIÁ","PR","06/2019",1081
"32",410010,"ABATIÁ","PR","02/2018",1278
"33",410010,"ABATIÁ","PR","04/2021",1309
"34",410010,"ABATIÁ","PR","02/2020",1142
"35",410010,"ABATIÁ","PR","06/2018",1133
"36",410010,"ABATIÁ","PR","07/2020",1215
"37",410010,"ABATIÁ","PR","09/2020",1211
"38",410010,"ABATIÁ","PR","05/2018",1107
"39",410010,"ABATIÁ","PR","03/2018",1183
"40",410010,"ABATIÁ","PR","04/2018",1179
"41",410010,"ABATIÁ","PR","11/2020",1210
"42",410010,"ABATIÁ","PR","02/2019",1125
"43",410010,"ABATIÁ","PR","12/2020",1210
"44",410020,"ADRIANÓPOLIS","PR","11/2018",1413
"45",410020,"ADRIANÓPOLIS","PR","02/2019",1355
"46",410020,"ADRIANÓPOLIS","PR","02/2018",1672
"47",410020,"ADRIANÓPOLIS","PR","09/2019",1299
"48",410020,"ADRIANÓPOLIS","PR","04/2021",1340
"49",410020,"ADRIANÓPOLIS","PR","12/2020",1307
"50",410020,"ADRIANÓPOLIS","PR","02/2020",1332
"51",410020,"ADRIANÓPOLIS","PR","01/2021",1365
"52",410020,"ADRIANÓPOLIS","PR","07/2019",1356
"53",410020,"ADRIANÓPOLIS","PR","10/2020",1319
"54",410020,"ADRIANÓPOLIS","PR","06/2018",1477
"55",410020,"ADRIANÓPOLIS","PR","03/2021",1361
"56",410020,"ADRIANÓPOLIS","PR","11/2020",1313
"57",410020,"ADRIANÓPOLIS","PR","01/2020",1330
"58",410020,"ADRIANÓPOLIS","PR","04/2018",1590
"59",410020,"ADRIANÓPOLIS","PR","03/2018",1579
"60",410020,"ADRIANÓPOLIS","PR","05/2018",1512
"61",410020,"ADRIANÓPOLIS","PR","07/2020",1309
"62",410020,"ADRIANÓPOLIS","PR","09/2020",1321
"63",410020,"ADRIANÓPOLIS","PR","06/2019",1332
"64",410020,"ADRIANÓPOLIS","PR","12/2018",1372
"65",410020,"ADRIANÓPOLIS","PR","10/2018",1414
"66",410020,"ADRIANÓPOLIS","PR","03/2019",1336
"67",410020,"ADRIANÓPOLIS","PR","10/2019",1274
"68",410020,"ADRIANÓPOLIS","PR","01/2018",1653
"69",410020,"ADRIANÓPOLIS","PR","06/2020",1315
"70",410020,"ADRIANÓPOLIS","PR","01/2019",1363
"71",410020,"ADRIANÓPOLIS","PR","07/2018",1493
"72",410020,"ADRIANÓPOLIS","PR","09/2018",1420
"73",410020,"ADRIANÓPOLIS","PR","08/2019",1312
"74",410020,"ADRIANÓPOLIS","PR","08/2020",1321
"75",410020,"ADRIANÓPOLIS","PR","06/2021",1342
"76",410020,"ADRIANÓPOLIS","PR","12/2019",1343
"77",410020,"ADRIANÓPOLIS","PR","11/2019",1270
"78",410020,"ADRIANÓPOLIS","PR","08/2018",1421
"79",410020,"ADRIANÓPOLIS","PR","04/2019",1360
"80",410020,"ADRIANÓPOLIS","PR","05/2019",1353
"81",410020,"ADRIANÓPOLIS","PR","05/2020",1321
"82",410020,"ADRIANÓPOLIS","PR","05/2021",1342
"83",410020,"ADRIANÓPOLIS","PR","02/2021",1361
"84",410020,"ADRIANÓPOLIS","PR","04/2020",1324
"85",410020,"ADRIANÓPOLIS","PR","03/2020",1322
"86",410020,"ADRIANÓPOLIS","PR","07/2021",1348
"87",410030,"AGUDOS DO SUL","PR","02/2018",2104
"88",410030,"AGUDOS DO SUL","PR","05/2021",2327
"89",410030,"AGUDOS DO SUL","PR","12/2020",2412
"90",410030,"AGUDOS DO SUL","PR","03/2018",2232
"91",410030,"AGUDOS DO SUL","PR","08/2019",2203
"92",410030,"AGUDOS DO SUL","PR","09/2020",2416
"93",410030,"AGUDOS DO SUL","PR","06/2018",2299
"94",410030,"AGUDOS DO SUL","PR","05/2020",2422
"95",410030,"AGUDOS DO SUL","PR","11/2019",2218
"96",410030,"AGUDOS DO SUL","PR","11/2018",2376
"97",410030,"AGUDOS DO SUL","PR","11/2020",2430
"98",410030,"AGUDOS DO SUL","PR","02/2019",2314
"99",410030,"AGUDOS DO SUL","PR","07/2021",2337
"100",410030,"AGUDOS DO SUL","PR","06/2019",2269
"101",410030,"AGUDOS DO SUL","PR","02/2021",2380
"102",410030,"AGUDOS DO SUL","PR","04/2021",2349
"103",410030,"AGUDOS DO SUL","PR","03/2020",2426
"104",410030,"AGUDOS DO SUL","PR","02/2020",2167
"105",410030,"AGUDOS DO SUL","PR","12/2018",2327
"106",410030,"AGUDOS DO SUL","PR","10/2020",2423
"107",410030,"AGUDOS DO SUL","PR","04/2020",2430
"108",410030,"AGUDOS DO SUL","PR","01/2020",2213
"109",410030,"AGUDOS DO SUL","PR","09/2019",2210
"110",410030,"AGUDOS DO SUL","PR","06/2021",2317
"111",410030,"AGUDOS DO SUL","PR","06/2020",2416
"112",410030,"AGUDOS DO SUL","PR","04/2018",2299
"113",410030,"AGUDOS DO SUL","PR","07/2018",2305
"114",410030,"AGUDOS DO SUL","PR","04/2019",2372
